,Date,BTC_Close,Gold_Close,Oil_Close,Volume_Top2,Volume_Top3,Volume_Top4,Volume_Top5
0,2019-12-31,7193.59912109375,1519.5,61.060001373291016,0.15637772432180214,0.01954113978679292,0.4236998543564764,0.029983527499767775
2,2020-01-02,6985.47021484375,1524.5,61.18000030517578,0.144563511831158,0.019532913331366714,0.4357455462517569,0.02578592780800992
3,2020-01-03,7344.88427734375,1549.199951171875,63.04999923706055,0.1398350014148666,0.016950983710874556,0.4327152728996253,0.035293338481484436
6,2020-01-06,7769.21923828125,1566.199951171875,63.27000045776367,0.13682958338832274,0.034632348376716034,0.44327871101170396,0.035031762930781744
7,2020-01-07,8163.6923828125,1571.800048828125,62.70000076293945,0.12300744127392314,0.029731571788809447,0.4353447314218871,0.02969458519137257
8,2020-01-08,8079.86279296875,1557.4000244140625,59.61000061035156,0.1166947855012689,0.022154128228233566,0.43727923926440504,0.030141608459242016
9,2020-01-09,7879.0712890625,1551.699951171875,59.560001373291016,0.12214138445779177,0.021281104294770557,0.44472807289611954,0.030286956139334388
10,2020-01-10,8166.55419921875,1557.5,59.040000915527344,0.1184664040171035,0.022085222145542486,0.03894766228073895,0.44606127163454173
13,2020-01-13,8144.1943359375,1548.4000244140625,58.08000183105469,0.13840598045907473,0.021829075573895868,0.031130972290362997,0.43723594670242827
14,2020-01-14,8827.7646484375,1542.4000244140625,58.22999954223633,0.21351455529389718,0.03372633890192078,0.09531144402630011,0.08455445938059114
15,2020-01-15,8807.0107421875,1552.0999755859375,57.810001373291016,0.22138504954063362,0.03779230494499909,0.07646116061135749,0.07925887229205036
16,2020-01-16,8723.7861328125,1549.0,58.52000045776367,0.2509374132599279,0.03776253571854446,0.06673813015297675,0.07246587428693144
17,2020-01-17,8929.0380859375,1558.800048828125,58.540000915527344,0.24002379115591002,0.03870002759293215,0.08208210236755283,0.05706929940455302
21,2020-01-21,8745.89453125,1556.4000244140625,58.34000015258789,0.2382795795617086,0.041419330446404425,0.06471979394621949,0.06903454934197586
22,2020-01-22,8680.8759765625,1555.300048828125,56.7400016784668,0.24244113003079185,0.03993774607338449,0.06497929820979861,0.057710079741800556
23,2020-01-23,8406.515625,1564.5999755859375,55.59000015258789,0.24103945545560104,0.03710100054883374,0.06311583660757114,0.06128008231737912
24,2020-01-24,8445.4345703125,1571.0999755859375,54.189998626708984,0.24876664175991406,0.03982880506420163,0.0781215555567835,0.06379771352918413
27,2020-01-27,8909.8193359375,1576.800048828125,53.13999938964844,0.2256899762607275,0.0353285450312718,0.08457726375589471,0.06687809951890304
28,2020-01-28,9358.58984375,1569.199951171875,53.47999954223633,0.21355469387317685,0.037235077128426275,0.07104072669332043,0.05419164722127255
29,2020-01-29,9316.6298828125,1569.800048828125,53.33000183105469,0.21350876675620467,0.037490322606471456,0.07937046849159479,0.05882947146119524
30,2020-01-30,9508.9931640625,1583.5,52.13999938964844,0.2342741909913035,0.039495844318066166,0.07537638184899265,0.049057289620396155
31,2020-01-31,9350.529296875,1582.9000244140625,51.560001373291016,0.2392280556859731,0.03859452085570748,0.0748066116585685,0.04703765629849656
34,2020-02-03,9293.521484375,1577.199951171875,50.11000061035156,0.2436637676086317,0.04240641746884735,0.06705241038798562,0.03866354323339089
35,2020-02-04,9180.962890625,1550.4000244140625,49.61000061035156,0.2366458383724,0.05860397468140659,0.06350661941607674,0.03735234683987892
36,2020-02-05,9613.423828125,1557.800048828125,50.75,0.24197891787511402,0.05424544235900018,0.08609547110700783,0.04433693991644039
37,2020-02-06,9729.8017578125,1565.0999755859375,50.95000076293945,0.255064903063487,0.047814611004035806,0.07547703334910415,0.03732395728707855
38,2020-02-07,9795.943359375,1568.5999755859375,50.31999969482422,0.27756995372361726,0.03949987744548785,0.07426783637585137,0.03394786240418785
41,2020-02-10,9856.611328125,1574.699951171875,49.56999969482422,0.2464087645159364,0.03653505206556058,0.0701620041641943,0.048178228974430165
42,2020-02-11,10208.236328125,1565.5999755859375,49.939998626708984,0.2629208261428877,0.03694250396748054,0.07060622556607722,0.04605645228615426
43,2020-02-12,10326.0546875,1567.4000244140625,51.16999816894531,0.30624721515842096,0.051062406752283004,0.06295076336385312,0.037687453688743155
44,2020-02-13,10214.3798828125,1575.0999755859375,51.41999816894531,0.2867639479332828,0.07195161668292924,0.05566316683527084,0.03706238665405087
45,2020-02-14,10312.1162109375,1582.699951171875,52.04999923706055,0.2976494895484707,0.05656394800420376,0.06399732872810096,0.03422690164754156
49,2020-02-18,10141.99609375,1600.0,52.04999923706055,0.3051217374352612,0.042805801440732476,0.06775229260019446,0.040275909611080137
50,2020-02-19,9633.38671875,1607.5,53.290000915527344,0.28317015790438566,0.03866223849045897,0.056710450259809676,0.03472517697212909
51,2020-02-20,9608.4755859375,1616.5999755859375,53.779998779296875,0.28639435404624275,0.03868786667837118,0.08495546293929393,0.03609078512773637
52,2020-02-21,9686.44140625,1644.5999755859375,53.380001068115234,0.2916767640812393,0.0367118430104786,0.06759744346923702,0.031907263075643906
55,2020-02-24,9650.1748046875,1672.4000244140625,51.43000030517578,0.28994681966971186,0.03199779420846108,0.06360712832033412,0.0309458828340671
56,2020-02-25,9341.705078125,1646.9000244140625,49.900001525878906,0.2960960641765008,0.03505290260850065,0.06234648915799465,0.031127757508200567
57,2020-02-26,8820.5224609375,1640.0,48.72999954223633,0.168604857215339,0.02103918596549004,0.04346765899642874,0.4428606450944837
58,2020-02-27,8784.494140625,1640.0,47.09000015258789,0.18242599550956218,0.019744381024405448,0.03761434807385721,0.43676912131691314
59,2020-02-28,8672.455078125,1564.0999755859375,44.7599983215332,0.17135415446332344,0.01874654311417346,0.03901978024977068,0.4321324796773275
62,2020-03-02,8869.669921875,1592.300048828125,46.75,0.1328231053321292,0.016131023298339226,0.1295717379330661,0.4411331031019259
63,2020-03-03,8787.7861328125,1642.0999755859375,47.18000030517578,0.13689889404215974,0.01740643286017375,0.20393351702780857,0.34948077905465974
64,2020-03-04,8755.24609375,1641.0999755859375,46.779998779296875,0.14735659718182798,0.02028703011287006,0.09097837552749254,0.43232185121474986
65,2020-03-05,9078.7626953125,1666.4000244140625,45.900001525878906,0.15844309196361653,0.02001807886366468,0.041407921593245856,0.4345574950114297
66,2020-03-06,9122.5458984375,1670.800048828125,41.279998779296875,0.16577924334551722,0.02073429727316003,0.04155201479505881,0.4226012951717858
69,2020-03-09,7923.64453125,1674.5,31.1299991607666,0.1654082930921962,0.019565504803180422,0.0398216189712845,0.44686338497435085
70,2020-03-10,7909.7294921875,1659.0999755859375,34.36000061035156,0.15524891453654066,0.019610211893649178,0.034449219252496076,0.4334448023584185
71,2020-03-11,7911.43017578125,1641.4000244140625,32.97999954223633,0.15648489722440292,0.01962571892565411,0.03347749072061711,0.4340184359897965
72,2020-03-12,4970.7880859375,1589.300048828125,31.5,0.1387924222528024,0.022246916208087126,0.46745760927773494,0.03302769742771302
73,2020-03-13,5563.70703125,1515.699951171875,31.729999542236328,0.13025219893164217,0.024122683337407812,0.4642460317831301,0.03473586715041821
76,2020-03-16,5014.47998046875,1485.9000244140625,28.700000762939453,0.1274739301731859,0.021105007094486743,0.4570942635573197,0.032532920414479416
77,2020-03-17,5225.62939453125,1524.9000244140625,26.950000762939453,0.12133514746727217,1.8097044705591268e-06,0.02142621633464557,0.46953980632388853
78,2020-03-18,5238.4384765625,1477.300048828125,20.3700008392334,0.11585234930738932,0.01959110816872681,0.45707580154252997,0.02975624183967032
79,2020-03-19,6191.19287109375,1478.5999755859375,25.219999313354492,0.11773082061677932,0.01860036860282006,0.46007782839796957,0.03739909635387944
80,2020-03-20,6198.7783203125,1484.0,22.43000030517578,0.12286957613809228,0.01909417223564585,0.46865287967666375,0.03657490750268002
83,2020-03-23,6416.31494140625,1567.0,23.360000610351562,0.11385456853154857,0.017037547424001882,0.4613209602952659,0.03369768790164802
84,2020-03-24,6734.8037109375,1660.199951171875,24.010000228881836,0.11546575188275286,0.017040240466969715,0.45615509045673164,0.0302072175899988
85,2020-03-25,6681.06298828125,1632.300048828125,24.489999771118164,0.1159720655828852,0.01809808441155967,0.4511268264934745,0.029842765503602348
86,2020-03-26,6716.4404296875,1650.0999755859375,22.600000381469727,0.12053270964966054,0.023710507455754155,0.445568337885673,0.035675108141429095
87,2020-03-27,6469.79833984375,1623.9000244140625,21.510000228881836,0.1217040694539651,0.030428529542598406,0.44355579429465014,0.03496251934438237
90,2020-03-30,6429.841796875,1622.0,20.09000015258789,0.12031620879931265,0.021656074341962542,0.44858923713309073,0.03245312653542408
91,2020-03-31,6438.64453125,1583.4000244140625,20.479999542236328,0.12594499774846127,0.023923463027490616,0.4435657450513669,0.03338912711888656
92,2020-04-01,6606.7763671875,1578.199951171875,20.309999465942383,0.11751121016734326,0.019368360124906454,0.45234005562787466,0.030165205171535793
93,2020-04-02,6793.62451171875,1625.699951171875,25.31999969482422,0.12082117036784971,0.01855071576727776,0.4515060695899009,0.033316586835459745
94,2020-04-03,6733.38720703125,1633.699951171875,28.34000015258789,0.12590325058375962,0.020119053799610542,0.4463223386982299,0.035458445562147105
97,2020-04-06,7271.78125,1677.0,26.079999923706055,0.15855524980843275,0.018539060457654757,0.44634655069225304,0.03289030170797642
98,2020-04-07,7176.41455078125,1664.800048828125,23.6299991607666,0.16445609496059171,0.019939968920454115,0.44822270814310183,0.03144724564481106
99,2020-04-08,7334.0986328125,1665.4000244140625,25.09000015258789,0.15142564415893187,0.018556843639421637,0.44794218593538976,0.04872232197941098
100,2020-04-09,7302.08935546875,1736.199951171875,22.760000228881836,0.1494527258575068,0.01884122259305252,0.444322585647125,0.03821399029799594
104,2020-04-13,6845.03759765625,1744.800048828125,22.40999984741211,0.14801648707647902,0.02025806605572467,0.45063399655854564,0.033918875124854954
105,2020-04-14,6842.427734375,1756.699951171875,20.110000610351562,0.15263780441023683,0.019590755674855468,0.4379804769928005,0.03616151429092336
106,2020-04-15,6642.10986328125,1727.199951171875,19.8700008392334,0.15461402817699177,0.021424389178678074,0.4399104583165662,0.03178520691341673
107,2020-04-16,7116.80419921875,1720.4000244140625,19.8700008392334,0.1636329722325192,0.018643145176109602,0.4514863010123026,0.03209859376672586
108,2020-04-17,7096.1845703125,1689.199951171875,18.270000457763672,0.1717861328485219,0.01940206371987604,0.4420574913471616,0.032595723662742514
111,2020-04-20,6881.95849609375,1701.5999755859375,-37.630001068115234,0.17827840569694325,0.019825555413850653,0.45652763362041565,0.02893467561602285
112,2020-04-21,6880.3232421875,1678.199951171875,10.010000228881836,0.1699522780390884,0.019750726479939956,0.4407313377086828,0.03304588813437854
113,2020-04-22,7117.20751953125,1728.699951171875,13.779999732971191,0.17681866324897094,0.01752795499961339,0.4468128221387063,0.032128698903858825
114,2020-04-23,7429.724609375,1733.300048828125,16.5,0.16663571885334783,0.017787784232209128,0.44405913058844937,0.03081080942094357
115,2020-04-24,7550.90087890625,1723.5,16.940000534057617,0.16505334434776814,0.018225637211956403,0.444515266206638,0.03168362328572852
118,2020-04-27,7795.60107421875,1711.9000244140625,12.779999732971191,0.16873876283731282,0.01620214710864838,0.4524596965830376,0.035770686282566175
119,2020-04-28,7807.05859375,1710.5,12.34000015258789,0.1767432131923302,0.02440526477823201,0.44530320109430677,0.03156427968463143
120,2020-04-29,8801.0380859375,1703.4000244140625,15.0600004196167,0.15195000799800218,0.017510386811091534,0.4563085617205669,0.027700748280895898
121,2020-04-30,8658.5537109375,1684.199951171875,18.84000015258789,0.14508847704090821,0.016246159611297356,0.46454872055122676,0.028225733975914203
122,2020-05-01,8864.7666015625,1694.5,19.780000686645508,0.16402254455319554,0.018177071508899474,0.4429609481609969,0.027601827396831143
125,2020-05-04,8912.654296875,1706.9000244140625,20.389999389648438,0.16763698273706037,0.01826151411083885,0.44734310331914134,0.02767293452602202
126,2020-05-05,9003.0703125,1704.4000244140625,24.559999465942383,0.1565855876060061,0.0173365670166671,0.44308091696684293,0.02748322622962669
