,mse,mae,rmse,r2,deviation
SARIMAX,192728671.81825075,13569.60702322333,13882.675239961884,-21.448282063839926,0.6556271244322808
Linear Regression,16400413.22171643,3598.741983738868,4049.7423648568597,-0.9111659014074183,0.17431898812311541
XGBoost Regression,3069800.207914157,1414.4084930419926,1752.0845321827817,0.6424748512285581,0.06562403241769041
Long Short Term Memory,78894283.48409316,8618.372355143229,8882.245407783617,-8.18961634458205,0.44575507212752885
Gate Recurrent Unit,11846101.847238382,3023.7567799886056,3441.816649276713,-0.3796700822285328,0.13988691283907695
