,mse,mae,rmse,r2,deviation
SARIMAX,192023620.23853707,13516.375887643575,13857.258756281384,-20.699242051636627,0.6560707897190275
Linear Regression,33287400.123744726,5191.114962077977,5769.523387919034,-2.787399025545765,0.25163249013587574
XGBoost Regression,4551493.939599764,1696.7438136509493,2133.423056873569,0.48362033319913217,0.07876089896938723
Long Short Term Memory,85829743.04723728,8950.25767299107,9264.434307999452,-8.689481246736742,0.46558741890277966
Gate Recurrent Unit,27643580.48977943,4719.380908784411,5257.716280837093,-2.121473714386137,0.2204962966256187
