,mse,mae,rmse,r2,deviation
SARIMAX,162750779.10062838,12410.17178826854,12757.381357497641,-17.952038599133125,0.5977752061799505
Linear Regression,15069216.69225517,3475.5103802208337,3881.9088979850067,-0.7563819989495545,0.1696221451908907
XGBoost Regression,7833818.292671673,2276.8859914143886,2798.895906008595,0.08916289808958783,0.105229447413244
Long Short Term Memory,137373694.61092186,11348.372395833336,11720.652482303272,-15.002634230928727,0.5881411988598289
Gate Recurrent Unit,21686342.81882555,3676.405568440756,4656.859759411437,-1.52642117385292,0.2046625266869389
