,Date,Y_test,Furture - 1,Furture - 2
0,2022-12-06,17089.503906249993,15405.763337547525,
1,2022-12-07,16848.126953124996,15922.603266944745,14874.409240702693
2,2022-12-08,17233.474609375,12135.808552580464,15505.841089360447
3,2022-12-09,17133.15234375,11917.22551647249,12051.716875155968
4,2022-12-10,17128.724609374996,12410.029036741122,11671.07406846597
5,2022-12-11,17104.193359374996,12231.55536737347,12395.617939903672
6,2022-12-12,17206.437499999993,12182.032565142621,11885.227255982985
7,2022-12-13,17781.318359374996,12841.423289226286,11323.908180032213
8,2022-12-14,17815.650390625,11000.942241263365,12621.021159078047
9,2022-12-15,17364.865234374996,13030.370768291084,10579.014376523508
10,2022-12-16,16647.484375,14008.941090841601,12415.20920384731
11,2022-12-17,16795.091796875,14245.14479646901,13193.090112133648
12,2022-12-18,16757.976562499996,14378.519095747257,14622.969968665087
13,2022-12-19,16439.679687499996,12679.984208340142,13348.706835249697
14,2022-12-20,16906.304687499996,14410.45840098225,13259.217194773031
15,2022-12-21,16817.53515625,14511.017337680514,14240.11384701922
16,2022-12-22,16830.341796874996,14509.202549213214,14170.745809704931
17,2022-12-23,16796.953124999993,14463.984429607544,13755.258598951286
18,2022-12-24,16847.755859374996,15406.679358805324,14483.030344254388
19,2022-12-25,16841.986328125,20211.85572402518,15317.576429211817
20,2022-12-26,16919.804687499996,16742.253312406552,19857.33589573083
21,2022-12-27,16717.173828124996,17607.030402598666,16842.87351335319
22,2022-12-28,16552.572265624993,19290.00800279467,17730.456239000567
23,2022-12-29,16642.341796874996,14466.948740796539,18744.188732455244
24,2022-12-30,16602.585937499996,15004.324615120313,14120.533900219703
25,2022-12-31,16547.496093749996,13602.878813512587,14767.03405999577
26,2023-01-01,16625.080078125,13744.294602510783,13676.088164009669
27,2023-01-02,16688.470703124996,13387.013344907413,13605.506411125212
28,2023-01-03,16679.857421875,13857.070660756144,13154.92719617529
29,2023-01-04,16863.238281249993,14674.743919596058,13971.671268444125
30,2023-01-05,16836.736328125,14548.818903468256,13740.620846704622
31,2023-01-06,16951.968749999996,13948.121724894834,14536.78148486459
32,2023-01-07,16955.078125,11772.559754726492,13251.983759717097
33,2023-01-08,17091.144531249996,12066.774009829373,11554.267000833797
34,2023-01-09,17196.5546875,11649.821724139763,11364.624769405162
35,2023-01-10,17446.292968749996,12047.180741370405,11075.518648215428
36,2023-01-11,17934.896484375,10278.983249012423,11636.8099027804
37,2023-01-12,18869.587890624996,12401.907559031184,10007.469325290092
38,2023-01-13,19909.574218749996,13487.74905698981,12584.736928081216
39,2023-01-14,20976.298828125,13325.394460750227,12615.55711966794
40,2023-01-15,20880.798828125,13871.333339597164,13234.824191505604
41,2023-01-16,21169.632812499996,13525.133847821602,12905.503459017007
42,2023-01-17,21161.51953125,15231.449316041877,13790.485342922177
43,2023-01-18,20688.781249999996,16880.291888647713,14851.199088328354
44,2023-01-19,21086.79296875,17309.269179659004,15803.234776313991
45,2023-01-20,22676.552734374996,18379.146653010896,17547.26967786232
46,2023-01-21,22777.625,19921.772075701243,17681.92156585081
47,2023-01-22,22720.416015624996,20585.541478983003,19918.37570573913
48,2023-01-23,22934.431640625,19500.086551242992,20185.107763815828
49,2023-01-24,22636.46875,18973.193910661023,19199.047414979217
50,2023-01-25,23117.859375,20202.155158532816,18431.18658256751
51,2023-01-26,23032.77734375,17669.488327431307,20036.267953687773
52,2023-01-27,23078.728515625,18743.06695180035,17689.83304215859
53,2023-01-28,23031.089843749996,18595.480093021193,18348.779585850418
54,2023-01-29,23774.56640625,18112.320223343373,19057.91652363659
55,2023-01-30,22840.138671875,17389.428170334173,17379.622531215635
56,2023-01-31,23139.283203124996,19480.161193339103,16770.688645697825
57,2023-02-01,23723.769531249996,21870.362144455023,18960.897644315715
58,2023-02-02,23471.87109375,20942.51105491477,21226.523368047387
59,2023-02-03,23449.322265625,20433.604357265358,20244.529557833408
60,2023-02-04,23331.84765625,20705.181665738623,20078.42159361566
61,2023-02-05,22955.666015624996,20448.45328967469,20410.958109703814
62,2023-02-06,22760.109375,19064.16295471475,19949.16068536806
63,2023-02-07,23264.291015624996,18621.173131427404,18534.037119336666
64,2023-02-08,22939.3984375,19239.393318016646,18980.584352162987
65,2023-02-09,21819.0390625,20462.673722265106,19516.232014115234
66,2023-02-10,21651.18359375,18412.154087461135,20056.369050596164
67,2023-02-11,21870.874999999996,18731.796733432842,18188.667934611574
68,2023-02-12,21788.203124999996,18179.890737352085,18457.692772376275
69,2023-02-13,21808.101562499996,17497.616495695896,17485.1995971018
70,2023-02-14,22220.8046875,17331.393605331894,16815.445749675982
71,2023-02-15,24307.841796875,17372.09251563173,17082.447629127248
72,2023-02-16,23623.474609375,17293.3591611635,17188.74743003965
73,2023-02-17,24565.6015625,16672.632632863184,16489.63455915107
74,2023-02-18,24641.277343749996,17346.401426276912,16275.331878783343
75,2023-02-19,24327.642578125,17276.952193013436,16939.044030926558
76,2023-02-20,24829.148437499996,17885.855158321403,16893.345198447623
77,2023-02-21,24436.353515624996,19474.295082344146,17498.281948067488
78,2023-02-22,24188.84375,18015.596479950877,19115.56769735244
79,2023-02-23,23947.4921875,18730.63303296813,17626.454761672303
80,2023-02-24,23198.126953125,16992.624273763206,18341.273527357
81,2023-02-25,23175.375,18524.525220108477,16336.691415793632
82,2023-02-26,23561.212890625,20585.577407829976,18158.77466746154
83,2023-02-27,23522.87109375,17544.8241785833,20381.13281844367
84,2023-02-28,23147.353515625,18212.336113509245,16384.730907062498
85,2023-03-01,23646.550781249996,19733.78779859976,18439.765368455883
86,2023-03-02,23475.466796875,17231.754672739247,18948.481245734703
