Date,Y_test,Y_SARIMAX,Y_LR,Y_XGBR,Y_LSTM,Y_GRU
2022-12-07,16848.126953124996,7755.703345575928,14808.959846366371,16949.89,11490.9375,23284.951
2022-12-08,17233.474609375,8115.553847837998,15007.694159731685,16910.395,11214.404,23973.436
2022-12-09,17133.15234375,6602.400353023232,14903.820476044968,17170.012,10987.407,24212.916
2022-12-10,17128.724609374996,7014.704261472069,14393.66462040794,17291.102,10856.236,24108.527
2022-12-11,17104.193359374996,8649.964299531743,15332.877993791293,17400.613,10795.941,24196.213
2022-12-12,17206.437499999993,7954.881258953734,14964.726855840445,17384.752,10826.494,23992.336
2022-12-13,17781.318359374996,8169.845016171235,13603.497200093645,17935.652,10822.321,23908.068
2022-12-14,17815.650390625,7912.673559762046,13527.40498438859,18378.127,11000.394,24329.564
2022-12-15,17364.865234374996,7934.709529863041,14869.777203725167,18978.79,11191.38,24305.545
2022-12-16,16647.484375,7320.41839712715,14745.996209052379,18574.34,11273.261,24149.902
2022-12-17,16795.091796875,8073.027699931421,13201.425216529018,18286.172,11372.358,23815.451
2022-12-18,16757.976562499996,7895.251117404104,14490.790659457316,18281.334,11482.381,23782.25
2022-12-19,16439.679687499996,8000.928148058199,14908.19991837248,17403.945,11641.337,23726.111
2022-12-20,16906.304687499996,8054.924116619793,14566.210677263487,17577.02,11814.93,23494.742
2022-12-21,16817.53515625,7650.592749091073,14170.895837296743,17786.51,12091.01,23289.396
2022-12-22,16830.341796874996,8954.130209447625,13658.332800894927,17361.057,12466.236,23216.902
2022-12-23,16796.953124999993,8157.003683635775,12990.489351531078,17937.484,12986.078,23061.416
2022-12-24,16847.755859374996,9673.03754575514,13414.627113246268,17747.182,13539.035,22945.844
2022-12-25,16841.986328125,9632.808245316017,12082.496004019107,17955.377,14002.5205,22238.379
2022-12-26,16919.804687499996,10078.212939064504,12148.256856035518,16007.794,14315.893,22615.238
2022-12-27,16717.173828124996,9163.832638809468,13804.857806835353,16221.333,14618.217,22620.064
2022-12-28,16552.572265624993,9452.449530490469,12802.764670405188,16160.364,14669.771,22252.959
2022-12-29,16642.341796874996,8905.562114957907,14248.65085484763,18126.385,14489.09,22927.21
2022-12-30,16602.585937499996,10575.118890373025,13647.878087597452,17271.596,14414.829,22739.787
2022-12-31,16547.496093749996,9875.528397789883,15444.020072051193,17290.764,14241.443,22969.336
2023-01-01,16625.080078125,10767.743001730592,15050.898111244718,17675.943,14103.848,23076.092
2023-01-02,16688.470703124996,11950.82944837487,14563.983472781578,19141.889,14097.751,23138.932
2023-01-03,16679.857421875,10603.487086120911,14686.435875369036,18280.414,13837.847,23261.436
2023-01-04,16863.238281249993,9475.698835926252,16070.24609032628,16800.799,13483.339,23384.863
2023-01-05,16836.736328125,9786.198673023966,15407.785413814534,17443.836,13083.232,23165.209
2023-01-06,16951.968749999996,8913.844841577387,16152.428494290672,17920.799,12799.705,23423.043
2023-01-07,16955.078125,10140.168826564755,16517.525278526475,17647.34,12451.366,23887.727
2023-01-08,17091.144531249996,9625.366093298091,16289.612929014413,17741.982,12157.621,23586.404
2023-01-09,17196.5546875,10858.18193670871,15319.575845142292,17881.139,11940.977,23387.44
2023-01-10,17446.292968749996,9061.914832534694,14379.136295874172,17027.826,11801.897,23339.227
2023-01-11,17934.896484375,9237.365535963947,14737.0970503329,17599.107,11769.417,23676.307
2023-01-12,18869.587890624996,9258.859715596998,15145.516749218415,18078.777,11796.194,23459.242
2023-01-13,19909.574218749996,9451.596376600935,15374.652158724604,18644.713,11815.189,23518.658
2023-01-14,20976.298828125,10809.215355417997,15684.31535272543,16323.154,11892.124,23819.318
2023-01-15,20880.798828125,9419.74993961043,17524.681721477133,18396.545,11962.977,24601.14
2023-01-16,21169.632812499996,9723.810055481747,17289.30030679027,17487.703,12153.995,24754.22
2023-01-17,21161.51953125,9264.299229509661,14333.282314651806,17006.766,12291.8545,24111.805
2023-01-18,20688.781249999996,9735.146842668473,17350.94194134432,18708.72,12500.541,24213.662
2023-01-19,21086.79296875,9158.37645986182,16283.969868812774,18669.393,12826.199,24028.098
2023-01-20,22676.552734374996,9860.209772189557,16921.882902988462,17560.402,13138.093,23927.564
2023-01-21,22777.625,9115.899819439368,16329.66141724204,19202.752,13321.614,23729.58
2023-01-22,22720.416015624996,9949.651247611479,16604.4671123122,21429.943,13458.599,23946.375
2023-01-23,22934.431640625,9394.066258135052,17434.429885058384,20115.623,13606.209,24382.271
2023-01-24,22636.46875,10177.903372885949,19102.218986324013,20058.523,13997.446,24873.957
2023-01-25,23117.859375,10570.295801209762,16247.178585401647,19322.979,14110.138,24418.348
2023-01-26,23032.77734375,9986.053288861633,18754.311070629337,19306.773,14296.725,25506.69
2023-01-27,23078.728515625,9420.1048106349,19577.06173964145,19427.658,14517.064,25658.348
2023-01-28,23031.089843749996,10422.136215188084,19123.54714280615,18915.951,14211.7705,25722.629
2023-01-29,23774.56640625,8587.630113267096,19299.591459500305,19132.096,14087.828,26295.459
2023-01-30,22840.138671875,10709.665282949207,17630.560615610284,20263.85,13935.545,26327.035
2023-01-31,23139.283203124996,10192.921565859999,17319.03886584038,19094.885,13823.38,25702.16
2023-02-01,23723.769531249996,10329.98903408279,17361.316552922068,18207.482,13764.665,24901.854
2023-02-02,23471.87109375,9305.640894904405,18552.75434783963,18887.875,13731.289,24975.512
2023-02-03,23449.322265625,12019.199908874381,18537.106364822353,19096.57,13799.434,25279.979
2023-02-04,23331.84765625,10457.648430389512,18528.742389215102,17532.469,14020.682,25211.62
