Date,Y_test,Y_LR
2022-12-07,16848.126953124996,16063.50364690026
2022-12-08,17233.474609375,12472.383441455071
2022-12-09,17133.15234375,12734.4260623098
2022-12-10,17128.724609374996,12739.47629948357
2022-12-11,17104.193359374996,13332.48828095976
2022-12-12,17206.437499999993,12717.22039972963
2022-12-13,17781.318359374996,14253.892038464206
2022-12-14,17815.650390625,12802.634810190975
2022-12-15,17364.865234374996,14388.952701177943
2022-12-16,16647.484375,15551.77911316378
2022-12-17,16795.091796875,16428.815049675337
2022-12-18,16757.976562499996,16377.458050347299
2022-12-19,16439.679687499996,15009.482294079391
2022-12-20,16906.304687499996,15638.350682931841
2022-12-21,16817.53515625,15919.352584343933
2022-12-22,16830.341796874996,15648.35781921387
2022-12-23,16796.953124999993,16243.81717287347
2022-12-24,16847.755859374996,16878.880952498643
2022-12-25,16841.986328125,20892.48264228481
2022-12-26,16919.804687499996,17554.92362256734
2022-12-27,16717.173828124996,17914.664715936182
2022-12-28,16552.572265624993,19130.352804063885
2022-12-29,16642.341796874996,14588.955331999514
2022-12-30,16602.585937499996,15693.09500013838
2022-12-31,16547.496093749996,14796.268670502344
2023-01-01,16625.080078125,13606.070269420383
2023-01-02,16688.470703124996,13545.812227710974
2023-01-03,16679.857421875,13658.176827982721
2023-01-04,16863.238281249993,13147.656661173678
2023-01-05,16836.736328125,13988.529183255332
2023-01-06,16951.968749999996,13281.368864119899
2023-01-07,16955.078125,10806.308741441773
2023-01-08,17091.144531249996,12462.936316410178
2023-01-09,17196.5546875,12345.273528089252
2023-01-10,17446.292968749996,13406.418635283524
2023-01-11,17934.896484375,12702.974662865665
2023-01-12,18869.587890624996,13778.447361415529
2023-01-13,19909.574218749996,14597.398176878454
2023-01-14,20976.298828125,15087.371545956765
2023-01-15,20880.798828125,15054.080097613498
2023-01-16,21169.632812499996,15364.696345940125
2023-01-17,21161.51953125,15941.229128612395
2023-01-18,20688.781249999996,17368.838077863456
2023-01-19,21086.79296875,18351.101426699366
2023-01-20,22676.552734374996,19253.117834918998
2023-01-21,22777.625,20251.322523727373
2023-01-22,22720.416015624996,21345.43552348794
2023-01-23,22934.431640625,19548.634951892713
2023-01-24,22636.46875,18777.898510147268
2023-01-25,23117.859375,20980.05288109741
2023-01-26,23032.77734375,18326.145202501502
2023-01-27,23078.728515625,19201.51396263094
2023-01-28,23031.089843749996,18983.615199558226
2023-01-29,23774.56640625,17871.078583682793
2023-01-30,22840.138671875,17698.996129975047
2023-01-31,23139.283203124996,20088.62338413528
2023-02-01,23723.769531249996,22004.242264221553
2023-02-02,23471.87109375,21525.05533529322
2023-02-03,23449.322265625,20856.91662510382
2023-02-04,23331.84765625,21697.14958891927
2023-02-05,22955.666015624996,21445.813966522426
2023-02-06,22760.109375,20282.41036511344
2023-02-07,23264.291015624996,20316.35770842248
2023-02-08,22939.3984375,20716.296020070007
2023-02-09,21819.0390625,21137.672475098647
2023-02-10,21651.18359375,18630.15465656284
2023-02-11,21870.874999999996,18908.30944665055
2023-02-12,21788.203124999996,18447.264404601407
2023-02-13,21808.101562499996,17556.38762474234
2023-02-14,22220.8046875,17576.15410297458
2023-02-15,24307.841796875,17775.23372207028
2023-02-16,23623.474609375,17233.362313694994
2023-02-17,24565.6015625,17120.27325747897
2023-02-18,24641.277343749996,17667.20428355855
2023-02-19,24327.642578125,17628.938699811337
2023-02-20,24829.148437499996,18333.04038196595
2023-02-21,24436.353515624996,20112.31516254591
2023-02-22,24188.84375,18606.022028805797
2023-02-23,23947.4921875,19773.50123983992
2023-02-24,23198.126953125,18346.97994742358
2023-02-25,23175.375,20287.022279483448
2023-02-26,23561.212890625,22483.481523881223
2023-02-27,23522.87109375,19319.080486459796
2023-02-28,23147.353515625,19665.109245536314
2023-03-01,23646.550781249996,21751.732337442176
2023-03-02,23475.466796875,18021.030257058475
2023-03-03,22362.6796875,20594.68231892036
2023-03-04,22353.349609374996,16971.272138589815
2023-03-05,22435.513671875,16814.04222985118
2023-03-06,22429.757812499996,17081.035420231055
2023-03-07,22219.769531249996,19466.371524511884
2023-03-08,21718.080078124996,16225.456139871956
2023-03-09,20363.021484375,18829.227332935236
2023-03-10,20187.244140625,18870.477953009682
2023-03-11,20632.41015625,18609.072279787284
2023-03-12,22163.94921875,15089.708339495706
