Date,Y_test,Y_SARIMAX
2022-12-07,16848.126953124996,6969.384763804762
2022-12-08,17233.474609375,6864.31011605032
2022-12-09,17133.15234375,6933.804152561704
2022-12-10,17128.724609374996,5749.678008227071
2022-12-11,17104.193359374996,7460.168850827079
2022-12-12,17206.437499999993,7194.600536899576
2022-12-13,17781.318359374996,7297.213472664876
2022-12-14,17815.650390625,6905.443649579878
2022-12-15,17364.865234374996,8147.5088170743475
2022-12-16,16647.484375,7339.406622631734
2022-12-17,16795.091796875,7338.483035438315
2022-12-18,16757.976562499996,8308.17750912797
2022-12-19,16439.679687499996,7584.046875363069
2022-12-20,16906.304687499996,8186.233590452182
2022-12-21,16817.53515625,8456.00287820211
2022-12-22,16830.341796874996,7627.7520260759065
2022-12-23,16796.953124999993,7081.162233546454
2022-12-24,16847.755859374996,7876.116393193048
2022-12-25,16841.986328125,7157.439816003618
2022-12-26,16919.804687499996,7385.867193359311
2022-12-27,16717.173828124996,7628.172637495288
2022-12-28,16552.572265624993,7920.312180016868
2022-12-29,16642.341796874996,8047.877757480257
2022-12-30,16602.585937499996,7702.07588343528
2022-12-31,16547.496093749996,8159.113804421677
2023-01-01,16625.080078125,5727.117347764481
2023-01-02,16688.470703124996,8066.848631902111
2023-01-03,16679.857421875,7559.147510331969
2023-01-04,16863.238281249993,7912.861747206623
2023-01-05,16836.736328125,8066.217545334396
2023-01-06,16951.968749999996,7621.076235451858
2023-01-07,16955.078125,8779.518017466125
2023-01-08,17091.144531249996,7605.262418495375
2023-01-09,17196.5546875,10220.688103007016
2023-01-10,17446.292968749996,9753.055681431853
2023-01-11,17934.896484375,9654.914232132935
2023-01-12,18869.587890624996,9521.727643640468
2023-01-13,19909.574218749996,9647.995436124133
2023-01-14,20976.298828125,9886.270269077188
2023-01-15,20880.798828125,10317.661717945233
2023-01-16,21169.632812499996,10240.490873585439
2023-01-17,21161.51953125,10786.263611426608
2023-01-18,20688.781249999996,10974.5039839749
2023-01-19,21086.79296875,11221.626416699903
2023-01-20,22676.552734374996,10830.960996922542
2023-01-21,22777.625,10078.111748596732
2023-01-22,22720.416015624996,9674.298615150821
2023-01-23,22934.431640625,8709.983651924296
2023-01-24,22636.46875,8632.37601261536
2023-01-25,23117.859375,8949.065066793413
2023-01-26,23032.77734375,9312.245143803255
2023-01-27,23078.728515625,9408.803683657292
2023-01-28,23031.089843749996,9846.55385626251
2023-01-29,23774.56640625,10046.50668544296
2023-01-30,22840.138671875,9396.896855797804
2023-01-31,23139.283203124996,9952.69364275494
2023-02-01,23723.769531249996,9101.167394829157
2023-02-02,23471.87109375,9384.452700079924
2023-02-03,23449.322265625,9254.73896037107
2023-02-04,23331.84765625,9305.15234125342
2023-02-05,22955.666015624996,9841.337284941776
2023-02-06,22760.109375,8949.166739387078
2023-02-07,23264.291015624996,10225.308050039617
2023-02-08,22939.3984375,9838.827510364927
2023-02-09,21819.0390625,9953.03942399649
2023-02-10,21651.18359375,10099.577480981463
2023-02-11,21870.874999999996,9298.782929396224
2023-02-12,21788.203124999996,9329.252778039197
2023-02-13,21808.101562499996,10108.090757463127
2023-02-14,22220.8046875,8766.39891248942
2023-02-15,24307.841796875,10113.102803922415
2023-02-16,23623.474609375,9534.735361801948
2023-02-17,24565.6015625,9651.659930802705
2023-02-18,24641.277343749996,10188.936304816227
2023-02-19,24327.642578125,10192.805520876635
2023-02-20,24829.148437499996,9500.689617072181
2023-02-21,24436.353515624996,10311.704079753403
2023-02-22,24188.84375,9177.589756658486
2023-02-23,23947.4921875,9545.304360892735
2023-02-24,23198.126953125,8614.5507955095
2023-02-25,23175.375,9053.689442181703
2023-02-26,23561.212890625,8983.877872546862
2023-02-27,23522.87109375,9826.920140277107
2023-02-28,23147.353515625,10183.002628554506
2023-03-01,23646.550781249996,10035.91125386025
2023-03-02,23475.466796875,9486.728188752646
2023-03-03,22362.6796875,9721.328401775052
2023-03-04,22353.349609374996,9302.154800128434
2023-03-05,22435.513671875,9882.540367034142
2023-03-06,22429.757812499996,9793.774419631392
2023-03-07,22219.769531249996,9593.031704054392
2023-03-08,21718.080078124996,9358.891452349608
2023-03-09,20363.021484375,9431.242359472672
2023-03-10,20187.244140625,9589.113779369118
2023-03-11,20632.41015625,8890.490831660687
2023-03-12,22163.94921875,9348.390734890345
