Date,Y_test,Y_LR
2022-12-07,16848.126953124996,14808.959846366371
2022-12-08,17233.474609375,15007.694159731685
2022-12-09,17133.15234375,14903.820476044968
2022-12-10,17128.724609374996,14393.66462040794
2022-12-11,17104.193359374996,15332.877993791293
2022-12-12,17206.437499999993,14964.726855840445
2022-12-13,17781.318359374996,13603.497200093645
2022-12-14,17815.650390625,13527.40498438859
2022-12-15,17364.865234374996,14869.777203725167
2022-12-16,16647.484375,14745.996209052379
2022-12-17,16795.091796875,13201.425216529018
2022-12-18,16757.976562499996,14490.790659457316
2022-12-19,16439.679687499996,14908.19991837248
2022-12-20,16906.304687499996,14566.210677263487
2022-12-21,16817.53515625,14170.895837296743
2022-12-22,16830.341796874996,13658.332800894927
2022-12-23,16796.953124999993,12990.489351531078
2022-12-24,16847.755859374996,13414.627113246268
2022-12-25,16841.986328125,12082.496004019107
2022-12-26,16919.804687499996,12148.256856035518
2022-12-27,16717.173828124996,13804.857806835353
2022-12-28,16552.572265624993,12802.764670405188
2022-12-29,16642.341796874996,14248.65085484763
2022-12-30,16602.585937499996,13647.878087597452
2022-12-31,16547.496093749996,15444.020072051193
2023-01-01,16625.080078125,15050.898111244718
2023-01-02,16688.470703124996,14563.983472781578
2023-01-03,16679.857421875,14686.435875369036
2023-01-04,16863.238281249993,16070.24609032628
2023-01-05,16836.736328125,15407.785413814534
2023-01-06,16951.968749999996,16152.428494290672
2023-01-07,16955.078125,16517.525278526475
2023-01-08,17091.144531249996,16289.612929014413
2023-01-09,17196.5546875,15319.575845142292
2023-01-10,17446.292968749996,14379.136295874172
2023-01-11,17934.896484375,14737.0970503329
2023-01-12,18869.587890624996,15145.516749218415
2023-01-13,19909.574218749996,15374.652158724604
2023-01-14,20976.298828125,15684.31535272543
2023-01-15,20880.798828125,17524.681721477133
2023-01-16,21169.632812499996,17289.30030679027
2023-01-17,21161.51953125,14333.282314651806
2023-01-18,20688.781249999996,17350.94194134432
2023-01-19,21086.79296875,16283.969868812774
2023-01-20,22676.552734374996,16921.882902988462
2023-01-21,22777.625,16329.66141724204
2023-01-22,22720.416015624996,16604.4671123122
2023-01-23,22934.431640625,17434.429885058384
2023-01-24,22636.46875,19102.218986324013
2023-01-25,23117.859375,16247.178585401647
2023-01-26,23032.77734375,18754.311070629337
2023-01-27,23078.728515625,19577.06173964145
2023-01-28,23031.089843749996,19123.54714280615
2023-01-29,23774.56640625,19299.591459500305
2023-01-30,22840.138671875,17630.560615610284
2023-01-31,23139.283203124996,17319.03886584038
2023-02-01,23723.769531249996,17361.316552922068
2023-02-02,23471.87109375,18552.75434783963
2023-02-03,23449.322265625,18537.106364822353
2023-02-04,23331.84765625,18528.742389215102
2023-02-05,22955.666015624996,19200.46261215435
2023-02-06,22760.109375,18909.681158974778
2023-02-07,23264.291015624996,18801.266587973096
2023-02-08,22939.3984375,18709.473762644633
2023-02-09,21819.0390625,18792.55746270164
2023-02-10,21651.18359375,18563.519191247422
2023-02-11,21870.874999999996,18141.191264014218
2023-02-12,21788.203124999996,19071.73312704495
2023-02-13,21808.101562499996,20437.96984288318
2023-02-14,22220.8046875,20273.16800978639
2023-02-15,24307.841796875,19751.694034073753
2023-02-16,23623.474609375,20673.668042169258
2023-02-17,24565.6015625,22410.76586714478
2023-02-18,24641.277343749996,22568.12591687195
2023-02-19,24327.642578125,22661.649216350008
2023-02-20,24829.148437499996,22866.812633477162
2023-02-21,24436.353515624996,22067.445908839934
2023-02-22,24188.84375,22343.844205628295
2023-02-23,23947.4921875,20769.22799855025
2023-02-24,23198.126953125,22711.818500915477
2023-02-25,23175.375,20715.421735030475
2023-02-26,23561.212890625,14304.881553128325
2023-02-27,23522.87109375,19896.723231333053
2023-02-28,23147.353515625,19670.454195357535
2023-03-01,23646.550781249996,20142.062805121037
2023-03-02,23475.466796875,20997.89648159949
2023-03-03,22362.6796875,21555.40719132265
2023-03-04,22353.349609374996,22453.900747861415
2023-03-05,22435.513671875,22380.081402906093
2023-03-06,22429.757812499996,21067.842913478667
2023-03-07,22219.769531249996,19736.696380018897
2023-03-08,21718.080078124996,21073.944678529027
2023-03-09,20363.021484375,19152.45635180525
2023-03-10,20187.244140625,18195.50928470559
2023-03-11,20632.41015625,16629.319776537206
2023-03-12,22163.94921875,16918.503999773227
