,Date,Y_test,Furture - 1,Furture - 2,Furture - 3,Furture - 4,Furture - 5,Furture - 6,Furture - 7
0,2022-12-01,16967.132812499996,17019.02,,,,,,
1,2022-12-02,17088.660156249993,17345.986,16819.863,,,,,
2,2022-12-03,16908.236328124996,17009.115,17161.092,16962.58,,,,
3,2022-12-04,17130.486328124996,16884.178,16967.648,17254.03,17151.852,,,
4,2022-12-05,16974.826171874996,17359.408,16585.043,16925.76,17090.7,17215.295,,
5,2022-12-06,17089.503906249993,17358.768,17461.598,16569.172,16787.896,17184.646,17194.402,
6,2022-12-07,16848.126953124996,16682.611,17079.992,17274.281,16791.32,17209.092,17168.457,16821.074
7,2022-12-08,17233.474609375,17572.02,17023.73,16734.54,17578.43,17457.047,17245.436,17515.191
8,2022-12-09,17133.15234375,17843.812,17334.639,16728.46,17160.117,17535.492,17012.293,16826.305
9,2022-12-10,17128.724609374996,18275.16,17607.879,17486.723,16883.283,17022.676,16691.291,16396.98
10,2022-12-11,17104.193359374996,17681.693,18023.307,17868.795,17406.82,17258.584,17186.398,16992.709
11,2022-12-12,17206.437499999993,17673.912,17789.236,17134.516,17644.684,17497.137,16958.43,17893.549
12,2022-12-13,17781.318359374996,17398.918,17568.398,17292.049,16877.908,18129.225,16754.227,16228.101
13,2022-12-14,17815.650390625,17779.656,17378.514,17438.998,17034.629,17128.086,17120.092,17132.879
14,2022-12-15,17364.865234374996,18001.61,17610.361,17181.676,17241.56,17582.521,16997.502,17490.502
15,2022-12-16,16647.484375,17590.32,17941.557,17236.03,17423.441,17704.646,17291.092,17806.395
16,2022-12-17,16795.091796875,17588.057,17714.742,17453.238,17888.523,17604.465,17218.027,18082.465
17,2022-12-18,16757.976562499996,17374.521,17065.238,16855.79,17174.426,17914.719,16798.662,17068.545
18,2022-12-19,16439.679687499996,17135.334,17478.63,17095.14,17011.334,17562.453,16781.35,16930.586
19,2022-12-20,16906.304687499996,16768.777,17347.326,17560.746,17761.52,17182.955,17792.277,17991.496
20,2022-12-21,16817.53515625,17200.418,17084.936,17052.258,17383.69,17667.504,17913.916,18461.83
21,2022-12-22,16830.341796874996,17145.732,17301.121,16996.885,17088.748,17572.865,17599.846,17931.81
22,2022-12-23,16796.953124999993,16636.18,17375.98,17382.646,17131.021,17460.025,17411.533,17326.102
23,2022-12-24,16847.755859374996,16862.678,16672.066,17425.047,17171.676,17804.295,17154.943,17671.863
24,2022-12-25,16841.986328125,18127.363,16843.168,17138.28,17315.824,17909.158,17651.412,17986.73
25,2022-12-26,16919.804687499996,17235.74,18124.076,17032.434,16918.064,17743.629,18008.0,17595.387
26,2022-12-27,16717.173828124996,17084.213,17431.56,17769.246,17107.334,18000.74,18036.22,17428.275
27,2022-12-28,16552.572265624993,17017.006,17183.809,17658.62,18414.613,18021.412,17948.098,17633.799
28,2022-12-29,16642.341796874996,17807.3,17294.752,17406.12,17436.924,18281.965,17632.22,17470.379
29,2022-12-30,16602.585937499996,17074.914,17715.936,17431.018,17319.52,18054.305,18614.004,17405.314
30,2022-12-31,16547.496093749996,17814.729,16995.43,17665.824,17576.412,17897.43,17648.066,18018.814
31,2023-01-01,16625.080078125,17821.404,17629.426,17365.764,18168.34,18482.215,17861.938,17520.994
32,2023-01-02,16688.470703124996,17964.441,17823.168,17649.818,17252.395,18527.557,17773.467,17419.463
33,2023-01-03,16679.857421875,17949.645,17651.133,18269.195,17589.824,17789.488,17886.943,17489.578
34,2023-01-04,16863.238281249993,18259.48,18277.625,17753.328,18354.6,18352.85,17881.807,18407.71
35,2023-01-05,16836.736328125,17642.264,18192.074,18274.39,17973.83,18553.45,17997.03,17817.754
36,2023-01-06,16951.968749999996,18341.66,17805.53,18397.18,18272.412,18393.555,18255.035,18828.729
37,2023-01-07,16955.078125,18713.617,18424.287,18173.557,18531.959,18906.596,18370.19,18567.082
38,2023-01-08,17091.144531249996,18565.932,18696.412,18355.908,18290.76,18870.742,18312.816,18774.564
39,2023-01-09,17196.5546875,18674.693,18245.06,18746.396,18516.654,18769.035,18700.824,18601.816
40,2023-01-10,17446.292968749996,18427.6,18789.986,18420.105,18929.113,18609.672,18504.703,19083.79
41,2023-01-11,17934.896484375,18664.482,18192.074,18235.777,18386.28,19101.352,17909.756,17684.113
42,2023-01-12,18869.587890624996,18762.37,18862.69,18644.354,18403.914,18896.738,18997.531,18909.832
43,2023-01-13,19909.574218749996,18961.941,18692.986,18604.57,18612.11,19035.531,18792.78,18898.082
44,2023-01-14,20976.298828125,18878.236,18757.193,18580.68,19004.262,18772.295,19146.09,18838.281
45,2023-01-15,20880.798828125,20487.133,18775.305,18358.309,18557.414,19274.828,18530.078,18999.14
46,2023-01-16,21169.632812499996,20586.445,19764.23,18068.32,18514.885,19055.871,18814.13,18944.93
47,2023-01-17,21161.51953125,19815.38,19826.967,19268.838,18730.082,19075.79,18345.414,18880.379
48,2023-01-18,20688.781249999996,20747.123,19018.252,19706.143,19152.188,19000.514,18942.57,18723.191
49,2023-01-19,21086.79296875,19385.19,20005.25,19419.277,20260.424,20240.4,19277.17,18904.611
50,2023-01-20,22676.552734374996,19282.152,19173.055,19359.47,19095.912,19745.926,21447.625,19355.414
51,2023-01-21,22777.625,19373.867,19312.297,19169.305,19363.34,19815.42,20817.96,20198.041
52,2023-01-22,22720.416015624996,20016.19,19053.666,19786.025,19130.115,19307.236,20339.787,20518.363
53,2023-01-23,22934.431640625,21679.914,19871.643,18837.451,18986.395,19252.877,20629.45,20042.545
54,2023-01-24,22636.46875,21050.02,19453.322,19054.004,18643.645,18976.191,19428.473,19953.738
55,2023-01-25,23117.859375,20116.637,20623.172,19464.188,19152.049,19433.998,19845.371,20113.81
56,2023-01-26,23032.77734375,22119.145,19858.912,20879.877,19467.475,18841.73,19430.19,20114.57
57,2023-01-27,23078.728515625,22223.588,21435.623,20149.623,19827.736,19667.037,18857.352,20223.543
58,2023-01-28,23031.089843749996,21946.56,20786.012,21798.29,20041.502,20595.55,20324.621,19854.51
59,2023-01-29,23774.56640625,22015.383,20406.477,21702.43,21277.693,19550.785,21389.342,19548.768
60,2023-01-30,22840.138671875,21355.023,20994.742,21135.848,20497.023,20250.36,20798.672,19677.67
61,2023-01-31,23139.283203124996,19774.322,21274.473,22064.262,20707.52,21012.275,21854.234,19654.873
62,2023-02-01,23723.769531249996,21033.701,20743.47,22783.34,22094.215,20542.508,22424.71,21473.514
63,2023-02-02,23471.87109375,20080.938,20549.059,21970.695,22041.475,19974.533,22423.02,20827.15
64,2023-02-03,23449.322265625,21361.963,20894.01,20165.889,19516.865,21696.277,22365.223,19749.646
65,2023-02-04,23331.84765625,21489.178,20406.166,19178.484,19076.236,19776.666,24175.951,22040.885
66,2023-02-05,22955.666015624996,22047.584,20903.166,20174.412,19279.336,18826.002,20453.959,22671.23
67,2023-02-06,22760.109375,21752.201,20711.592,21581.79,19557.793,19656.941,20931.732,20442.7
68,2023-02-07,23264.291015624996,20742.709,20762.273,20027.93,19128.229,20067.863,20594.13,20008.686
69,2023-02-08,22939.3984375,20265.613,20533.37,20026.746,19716.428,18979.428,21386.717,19412.85
70,2023-02-09,21819.0390625,20084.074,19757.752,20219.355,19993.164,19292.164,20102.19,20325.922
