Date,Y_test,Y_SARIMAX,Y_LR,Y_XGBR,Y_LSTM,Y_GRU
2022-12-02,16967.132812499996,7118.60288837896,15513.112797546482,17019.01953125,28733.458984375,14985.54296875
2022-12-03,17088.660156249993,7339.253985655172,14929.907858021077,17082.92578125,28913.1484375,14937.087890625
2022-12-04,16908.236328124996,6857.0139204937805,15212.379669048636,17044.263671875,28854.025390625,15077.7734375
2022-12-05,17130.486328124996,6652.929034538778,15797.72221514969,17064.427734375,28960.69140625,15193.61328125
2022-12-06,16974.826171874996,6874.954450585952,15587.942652080015,17035.240234375,28965.09765625,15150.7392578125
2022-12-07,17089.503906249993,6804.30013318195,15117.344248909758,17092.748046875,28839.279296875,15145.85546875
2022-12-08,16848.126953124996,6851.37063916539,14640.637646335226,17003.83203125,28724.357421875,15195.0068359375
2022-12-09,17233.474609375,6851.37063916539,14125.240354495123,17303.76953125,28629.6875,15121.34375
2022-12-10,17133.15234375,6851.37063916539,13657.426088699222,17205.873046875,28545.380859375,15019.7646484375
2022-12-11,17128.724609374996,6851.37063916539,13258.79087466372,17194.85546875,28488.859375,14911.7275390625
2022-12-12,17104.193359374996,6851.37063916539,12882.232279995684,17488.330078125,28463.91015625,14791.0419921875
2022-12-13,17206.437499999993,6851.37063916539,12511.064937861107,17513.06640625,28467.580078125,14680.0078125
2022-12-14,17781.318359374996,6851.37063916539,11563.631504096858,17178.404296875,28487.23828125,14598.0244140625
2022-12-15,17815.650390625,6851.37063916539,10914.609582172012,17287.55078125,28524.267578125,14513.4384765625
2022-12-16,17364.865234374996,6851.37063916539,11014.827965389573,17443.67578125,28569.373046875,14440.4404296875
2022-12-17,16647.484375,6851.37063916539,11302.055856466035,17570.498046875,28581.298828125,14418.4580078125
2022-12-18,16795.091796875,6851.37063916539,11092.156455861093,17649.931640625,28586.845703125,14444.802734375
2022-12-19,16757.976562499996,6851.37063916539,12006.023936312975,17178.841796875,28568.681640625,14502.7861328125
2022-12-20,16439.679687499996,6851.37063916539,11600.019900657468,17142.119140625,28517.484375,14558.9287109375
2022-12-21,16906.304687499996,6851.37063916539,12635.698529660893,17486.443359375,28440.712890625,14603.337890625
2022-12-22,16817.53515625,6851.37063916539,13163.612149984121,17537.79296875,28380.345703125,14642.3017578125
2022-12-23,16830.341796874996,6851.37063916539,13607.179971615642,17376.716796875,28324.265625,14671.7568359375
2022-12-24,16796.953124999993,6851.37063916539,13119.425718836597,17246.212890625,28293.166015625,14705.177734375
2022-12-25,16847.755859374996,6851.37063916539,13502.282913610818,17251.794921875,28277.66796875,14742.533203125
2022-12-26,16841.986328125,6851.37063916539,14330.845698270192,17567.419921875,28271.076171875,14834.091796875
2022-12-27,16919.804687499996,6851.37063916539,14743.187509982266,17522.4765625,28288.55859375,14958.283203125
2022-12-28,16717.173828124996,6851.37063916539,15416.768503857149,17551.083984375,28340.396484375,15056.6611328125
2022-12-29,16552.572265624993,6851.37063916539,16478.76844037067,17696.763671875,28347.74609375,15176.8974609375
2022-12-30,16642.341796874996,6851.37063916539,16301.992062076804,17618.521484375,28331.328125,15232.880859375
2022-12-31,16602.585937499996,6851.37063916539,16041.824182219772,17659.287109375,28309.703125,15239.4716796875
