Date,X1,X2,X3,X4,X5,X6,X7,X8,X9,Y
2020-03-12,13544827.88,16552900000000.0,124250397.3,12.24166667,1.235116702,653156.0,2317.735099,349978,0.376633322,4970.7880859375
2020-03-13,8634486.982,16552900000000.0,102856289.2,14.21666667,1.296698272,517382.0,2214.384,276798,0.313409278,5563.70703125
2020-03-14,8986521.226,16552900000000.0,105324840.1,13.76666667,1.274480383,413935.0,2186.15625,279828,0.768603489,5200.3662109375
2020-03-15,8103100.664,16552900000000.0,97919187.32,12.68333333,1.113644857,532450.0,1875.882353,223230,1.172461295,5392.31494140625
2020-03-16,7889846.941,16552900000000.0,97919187.32,12.95,1.193453008,540902.0,2272.260504,270399,0.431327193,5014.47998046875
2020-03-17,8477516.575,16552900000000.0,101210588.6,14.275,1.231597098,476482.0,2262.813008,278326,0.545866077,5225.62939453125
2020-03-18,6941254.719,16552900000000.0,82285031.36,14.90833333,1.16499282,525607.0,2312.54,231254,0.638481691,5238.4384765625
2020-03-19,7981376.242,16552900000000.0,88044983.55,12.51666667,1.306641869,564748.0,2483.074766,265689,0.663386235,6191.19287109375
2020-03-20,9446456.658,16552900000000.0,89690684.18,18.36666667,1.264478073,469859.0,2610.954128,284594,0.453721029,6198.7783203125
2020-03-21,9873966.128,16552900000000.0,102033438.9,11.46666667,1.108333782,409829.0,1983.032258,245896,1.525234603,6185.06640625
2020-03-22,9996191.207,16552900000000.0,104501989.8,7.341666667,0.843088583,509038.0,1646.88189,209154,1.412547013,5830.2548828125
2020-03-23,8912695.388,16552900000000.0,92159235.12,13.07916667,1.160538375,528586.0,2319.785714,259816,0.844614171,6416.31494140625
2020-03-24,11290318.11,16552900000000.0,108616241.4,11.51666667,1.170288614,456328.0,2107.05303,278131,0.595389833,6734.8037109375
2020-03-25,8111093.565,16552900000000.0,75702228.85,19.4625,1.125291511,539881.0,2371.478261,218176,0.862999583,6681.06298828125
2020-03-26,13691118.21,14143600000000.0,112492821.4,7.483333333,1.135452525,529197.0,1830.175,292828,1.392962785,6716.4404296875
2020-03-27,13411241.26,13912500000000.0,107197274.9,7.116666667,1.110375026,469113.0,1784.167742,276546,1.104980159,6469.79833984375
2020-03-28,10989618.93,13912500000000.0,93365368.43,7.6,0.910426519,428425.0,1782.422222,240627,1.812313439,6242.19384765625
