Date,Y_test,Y_SARIMAX
2022-12-08,16848.126953124996,6802.6754300647635
2022-12-09,17233.474609375,7358.296179885835
2022-12-10,17133.15234375,7165.480249725143
2022-12-11,17128.724609374996,6656.711452341855
2022-12-12,17104.193359374996,7405.089485368878
2022-12-13,17206.437499999993,7550.895546640196
2022-12-14,17781.318359374996,7478.800871580717
2022-12-15,17815.650390625,7299.42809447271
2022-12-16,17364.865234374996,6583.582982999646
2022-12-17,16647.484375,7242.736833132493
2022-12-18,16795.091796875,6212.388498512055
2022-12-19,16757.976562499996,7417.918929926726
2022-12-20,16439.679687499996,6484.620524756535
2022-12-21,16906.304687499996,7411.589497946874
2022-12-22,16817.53515625,7547.018898410413
2022-12-23,16830.341796874996,7619.5810439034185
2022-12-24,16796.953124999993,7673.358913415427
2022-12-25,16847.755859374996,7804.718993737321
2022-12-26,16841.986328125,7893.187407651817
2022-12-27,16919.804687499996,8187.4644611382055
2022-12-28,16717.173828124996,8057.179152100308
2022-12-29,16552.572265624993,8402.965172252283
2022-12-30,16642.341796874996,7708.233467119391
2022-12-31,16602.585937499996,7163.904761229265
2023-01-01,16547.496093749996,7787.273849309396
2023-01-02,16625.080078125,7351.079570140968
2023-01-03,16688.470703124996,7024.397794138792
2023-01-04,16679.857421875,7237.859258109233
2023-01-05,16863.238281249993,7344.692410740596
2023-01-06,16836.736328125,7852.801478233173
2023-01-07,16951.968749999996,7739.415434412565
2023-01-08,16955.078125,7808.928148066741
2023-01-09,17091.144531249996,5632.201112272926
2023-01-10,17196.5546875,8124.190595970818
2023-01-11,17446.292968749996,7652.290984889912
2023-01-12,17934.896484375,7968.794721168026
2023-01-13,18869.587890624996,8411.381796055026
2023-01-14,19909.574218749996,7588.668954360733
2023-01-15,20976.298828125,8909.314127500955
2023-01-16,20880.798828125,8337.114504398727
2023-01-17,21169.632812499996,8468.073644586235
2023-01-18,21161.51953125,9536.859950310572
2023-01-19,20688.781249999996,9777.308006930132
2023-01-20,21086.79296875,10208.337547485846
2023-01-21,22676.552734374996,10288.960222662017
2023-01-22,22777.625,10099.393155944712
2023-01-23,22720.416015624996,10090.836795503845
2023-01-24,22934.431640625,10307.912757763836
2023-01-25,22636.46875,10584.786087524617
2023-01-26,23117.859375,10940.439536332955
2023-01-27,23032.77734375,11437.52697677695
2023-01-28,23078.728515625,10912.505159482042
2023-01-29,23031.089843749996,10246.788259651503
2023-01-30,23774.56640625,9724.7417603194
2023-01-31,22840.138671875,8439.113148357797
2023-02-01,23139.283203124996,8803.442805686818
2023-02-02,23723.769531249996,9090.851052916707
2023-02-03,23471.87109375,8681.913699588837
2023-02-04,23449.322265625,8975.891580866093
2023-02-05,23331.84765625,9565.394036305495
2023-02-06,22955.666015624996,10268.628309200129
2023-02-07,22760.109375,10069.503839225623
2023-02-08,23264.291015624996,9703.204778232825
2023-02-09,22939.3984375,9384.798584113185
2023-02-10,21819.0390625,9120.300258216344
2023-02-11,21651.18359375,9680.49531525492
2023-02-12,21870.874999999996,9050.176743598824
2023-02-13,21788.203124999996,9196.726364859482
2023-02-14,21808.101562499996,9188.747715022308
2023-02-15,22220.8046875,9874.921631042886
2023-02-16,24307.841796875,9433.708007573705
2023-02-17,23623.474609375,10032.928565917258
2023-02-18,24565.6015625,9486.177760121303
2023-02-19,24641.277343749996,9157.039261226386
2023-02-20,24327.642578125,9710.986331428867
2023-02-21,24829.148437499996,9570.13703015544
2023-02-22,24436.353515624996,8768.455882771714
2023-02-23,24188.84375,10004.169481373232
2023-02-24,23947.4921875,9429.865445083587
2023-02-25,23198.126953125,9584.31282655304
2023-02-26,23175.375,9760.175451153718
2023-02-27,23561.212890625,9837.822864024278
2023-02-28,23522.87109375,9515.612025015052
2023-03-01,23147.353515625,9907.812244418823
2023-03-02,23646.550781249996,9223.076452784097
2023-03-03,23475.466796875,9295.117504096559
2023-03-04,22362.6796875,9301.14206606542
2023-03-05,22353.349609374996,9238.671879927348
2023-03-06,22435.513671875,9467.961781663766
2023-03-07,22429.757812499996,9731.14193679035
2023-03-08,22219.769531249996,10009.735956904009
2023-03-09,21718.080078124996,10116.75853177583
2023-03-10,20363.021484375,9484.961321644769
2023-03-11,20187.244140625,9819.473869401676
2023-03-12,20632.41015625,9267.871321896406
2023-03-13,22163.94921875,9901.574464586096
