Date,Y_test,Y_GRU
2022-12-07,16848.126953124996,51132.965
2022-12-08,17233.474609375,51192.914
2022-12-09,17133.15234375,51305.91
2022-12-10,17128.724609374996,51412.438
2022-12-11,17104.193359374996,51504.906
2022-12-12,17206.437499999993,51618.348
2022-12-13,17781.318359374996,51779.72
2022-12-14,17815.650390625,51983.12
2022-12-15,17364.865234374996,52179.176
2022-12-16,16647.484375,52284.3
2022-12-17,16795.091796875,52253.83
2022-12-18,16757.976562499996,52269.266
2022-12-19,16439.679687499996,52296.973
2022-12-20,16906.304687499996,52330.82
2022-12-21,16817.53515625,52249.215
2022-12-22,16830.341796874996,52164.344
2022-12-23,16796.953124999993,52035.535
2022-12-24,16847.755859374996,51833.64
2022-12-25,16841.986328125,51587.2
2022-12-26,16919.804687499996,51418.035
2022-12-27,16717.173828124996,51292.316
2022-12-28,16552.572265624993,51258.77
2022-12-29,16642.341796874996,51291.844
2022-12-30,16602.585937499996,51320.973
2022-12-31,16547.496093749996,51306.098
2023-01-01,16625.080078125,51205.46
2023-01-02,16688.470703124996,51120.465
2023-01-03,16679.857421875,51055.305
2023-01-04,16863.238281249993,51118.176
2023-01-05,16836.736328125,51231.4
2023-01-06,16951.968749999996,51470.754
2023-01-07,16955.078125,51791.195
2023-01-08,17091.144531249996,52046.01
2023-01-09,17196.5546875,52366.555
2023-01-10,17446.292968749996,52670.91
2023-01-11,17934.896484375,52988.04
2023-01-12,18869.587890624996,53316.473
2023-01-13,19909.574218749996,53452.156
2023-01-14,20976.298828125,53505.312
2023-01-15,20880.798828125,53493.39
2023-01-16,21169.632812499996,53483.43
2023-01-17,21161.51953125,53431.918
2023-01-18,20688.781249999996,53295.414
2023-01-19,21086.79296875,53085.36
2023-01-20,22676.552734374996,52756.703
2023-01-21,22777.625,52407.65
2023-01-22,22720.416015624996,51994.844
2023-01-23,22934.431640625,51641.055
2023-01-24,22636.46875,51337.664
2023-01-25,23117.859375,51155.934
2023-01-26,23032.77734375,51025.324
2023-01-27,23078.728515625,50985.953
2023-01-28,23031.089843749996,50904.37
2023-01-29,23774.56640625,50890.91
2023-01-30,22840.138671875,50808.38
2023-01-31,23139.283203124996,50781.65
2023-02-01,23723.769531249996,50769.824
2023-02-02,23471.87109375,50771.75
2023-02-03,23449.322265625,50852.406
2023-02-04,23331.84765625,50910.117
2023-02-05,22955.666015624996,50925.79
2023-02-06,22760.109375,50982.527
2023-02-07,23264.291015624996,51065.41
2023-02-08,22939.3984375,51125.496
2023-02-09,21819.0390625,51306.68
2023-02-10,21651.18359375,51455.875
2023-02-11,21870.874999999996,51559.812
2023-02-12,21788.203124999996,51560.32
2023-02-13,21808.101562499996,51631.996
2023-02-14,22220.8046875,51601.9
2023-02-15,24307.841796875,51520.383
2023-02-16,23623.474609375,51467.184
2023-02-17,24565.6015625,51442.727
2023-02-18,24641.277343749996,51367.8
2023-02-19,24327.642578125,51292.883
2023-02-20,24829.148437499996,51345.06
2023-02-21,24436.353515624996,51560.53
2023-02-22,24188.84375,51799.883
2023-02-23,23947.4921875,51985.54
2023-02-24,23198.126953125,52166.402
2023-02-25,23175.375,52234.13
2023-02-26,23561.212890625,52175.664
2023-02-27,23522.87109375,51998.47
2023-02-28,23147.353515625,51589.625
2023-03-01,23646.550781249996,51108.965
2023-03-02,23475.466796875,50634.13
2023-03-03,22362.6796875,50130.45
2023-03-04,22353.349609374996,49621.27
2023-03-05,22435.513671875,49087.152
2023-03-06,22429.757812499996,48613.184
2023-03-07,22219.769531249996,48176.773
2023-03-08,21718.080078124996,47895.188
2023-03-09,20363.021484375,47621.613
2023-03-10,20187.244140625,47496.383
2023-03-11,20632.41015625,47317.99
2023-03-12,22163.94921875,47154.793
