Date,Y_test,Y_SARIMAX,Y_LR,Y_XGBR,Y_LSTM,Y_GRU
2022-12-08,16848.126953124996,6802.6754300647635,16063.50364690026,16420.514,34080.84,16179.407
2022-12-09,17233.474609375,7358.296179885835,12472.383441455071,16421.594,34018.44,16370.86
2022-12-10,17133.15234375,7165.480249725143,12734.4260623098,14903.214,33553.08,16897.812
2022-12-11,17128.724609374996,6656.711452341855,12739.47629948357,18018.885,33737.297,16454.402
2022-12-12,17104.193359374996,7405.089485368878,13332.48828095976,20997.215,33867.117,15932.642
2022-12-13,17206.437499999993,7550.895546640196,12717.22039972963,18590.617,33971.16,15454.061
2022-12-14,17781.318359374996,7478.800871580717,14253.892038464206,18458.979,33797.035,15119.338
2022-12-15,17815.650390625,7299.42809447271,12802.634810190975,18870.113,34168.91,14561.248
2022-12-16,17364.865234374996,6583.582982999646,14388.952701177943,18648.553,33921.18,15164.874
2022-12-17,16647.484375,7242.736833132493,15551.77911316378,16340.568,33673.277,15684.425
2022-12-18,16795.091796875,6212.388498512055,16428.815049675337,15761.51,33653.0,15714.508
2022-12-19,16757.976562499996,7417.918929926726,16377.458050347299,15267.495,33504.9,15791.997
2022-12-20,16439.679687499996,6484.620524756535,15009.482294079391,16014.239,33687.395,15898.604
2022-12-21,16906.304687499996,7411.589497946874,15638.350682931841,17244.31,33885.344,15917.925
2022-12-22,16817.53515625,7547.018898410413,15919.352584343933,17242.223,33616.395,16421.059
2022-12-23,16830.341796874996,7619.5810439034185,15648.35781921387,17076.271,33424.016,16481.062
2022-12-24,16796.953124999993,7673.358913415427,16243.81717287347,16464.953,33180.914,16340.8125
2022-12-25,16847.755859374996,7804.718993737321,16878.880952498643,17029.238,33282.668,15990.534
2022-12-26,16841.986328125,7893.187407651817,20892.48264228481,17672.527,33369.6,15600.65
2022-12-27,16919.804687499996,8187.4644611382055,17554.92362256734,16914.588,33333.887,15721.267
2022-12-28,16717.173828124996,8057.179152100308,17914.664715936182,18483.086,33366.43,15998.861
2022-12-29,16552.572265624993,8402.965172252283,19130.352804063885,17967.213,33300.414,16516.928
2022-12-30,16642.341796874996,7708.233467119391,14588.955331999514,16531.062,33216.625,17327.889
2022-12-31,16602.585937499996,7163.904761229265,15693.09500013838,15275.898,33132.973,17886.793
2023-01-01,16547.496093749996,7787.273849309396,14796.268670502344,18292.068,32230.01,18067.172
2023-01-02,16625.080078125,7351.079570140968,13606.070269420383,17233.688,33524.3,16904.35
2023-01-03,16688.470703124996,7024.397794138792,13545.812227710974,17286.916,33457.418,16812.871
2023-01-04,16679.857421875,7237.859258109233,13658.176827982721,17590.844,33541.03,16196.348
2023-01-05,16863.238281249993,7344.692410740596,13147.656661173678,19050.348,34161.27,15162.839
2023-01-06,16836.736328125,7852.801478233173,13988.529183255332,16602.979,33775.215,15420.243
2023-01-07,16951.968749999996,7739.415434412565,13281.368864119899,17839.928,34066.64,15073.089
2023-01-08,16955.078125,7808.928148066741,10806.308741441773,16043.378,33955.125,15406.519
2023-01-09,17091.144531249996,5632.201112272926,12462.936316410178,18752.336,33861.07,15639.649
2023-01-10,17196.5546875,8124.190595970818,12345.273528089252,18572.146,33805.703,15594.8125
2023-01-11,17446.292968749996,7652.290984889912,13406.418635283524,18467.379,33578.98,15373.502
2023-01-12,17934.896484375,7968.794721168026,12702.974662865665,15486.758,33446.637,15162.953
2023-01-13,18869.587890624996,8411.381796055026,13778.447361415529,18906.47,33826.027,14838.908
2023-01-14,19909.574218749996,7588.668954360733,14597.398176878454,19098.662,33980.035,14931.004
2023-01-15,20976.298828125,8909.314127500955,15087.371545956765,18326.982,33393.7,15797.566
2023-01-16,20880.798828125,8337.114504398727,15054.080097613498,18965.258,33424.883,16404.479
2023-01-17,21169.632812499996,8468.073644586235,15364.696345940125,19021.31,33605.42,17157.824
2023-01-18,21161.51953125,9536.859950310572,15941.229128612395,19701.291,34086.574,17681.123
2023-01-19,20688.781249999996,9777.308006930132,17368.838077863456,20373.672,34005.03,18402.08
2023-01-20,21086.79296875,10208.337547485846,18351.101426699366,20302.303,34448.85,18270.81
2023-01-21,22676.552734374996,10288.960222662017,19253.117834918998,18190.29,34823.383,18012.139
2023-01-22,22777.625,10099.393155944712,20251.322523727373,20417.52,35233.438,17772.13
2023-01-23,22720.416015624996,10090.836795503845,21345.43552348794,21699.895,34959.152,17871.533
2023-01-24,22934.431640625,10307.912757763836,19548.634951892713,19079.486,34948.215,18229.951
2023-01-25,22636.46875,10584.786087524617,18777.898510147268,20005.11,35083.246,18916.45
2023-01-26,23117.859375,10940.439536332955,20980.05288109741,20554.979,34907.914,19591.889
2023-01-27,23032.77734375,11437.52697677695,18326.145202501502,22393.93,34995.84,19960.693
2023-01-28,23078.728515625,10912.505159482042,19201.51396263094,21017.27,35084.5,20378.186
2023-01-29,23031.089843749996,10246.788259651503,18983.615199558226,20385.482,35408.027,20139.576
2023-01-30,23774.56640625,9724.7417603194,17871.078583682793,20603.795,35656.09,19873.479
2023-01-31,22840.138671875,8439.113148357797,17698.996129975047,19742.902,35771.98,19872.176
2023-02-01,23139.283203124996,8803.442805686818,20088.62338413528,20119.92,35674.414,19693.396
2023-02-02,23723.769531249996,9090.851052916707,22004.242264221553,24411.254,36364.4,18372.111
2023-02-03,23471.87109375,8681.913699588837,21525.05533529322,19186.805,35831.562,18261.357
2023-02-04,23449.322265625,8975.891580866093,20856.91662510382,19902.42,35781.906,18157.416
2023-02-05,23331.84765625,9565.394036305495,21697.14958891927,24697.668,35861.742,18441.113
