Date,Y_test,Y_LR
2022-12-07,16848.126953124996,52302.648882283785
2022-12-08,17233.474609375,53785.02258726762
2022-12-09,17133.15234375,53074.34524709038
2022-12-10,17128.724609374996,52753.75260742767
2022-12-11,17104.193359374996,53237.916136427724
2022-12-12,17206.437499999993,52097.09265368765
2022-12-13,17781.318359374996,52382.22062927822
2022-12-14,17815.650390625,52972.9945672725
2022-12-15,17364.865234374996,52083.78631394594
2022-12-16,16647.484375,51306.862358604434
2022-12-17,16795.091796875,51173.76764040073
2022-12-18,16757.976562499996,53234.5708221315
2022-12-19,16439.679687499996,52120.955130685594
2022-12-20,16906.304687499996,51753.830296974134
2022-12-21,16817.53515625,50814.60173840775
2022-12-22,16830.341796874996,51469.27599276117
2022-12-23,16796.953124999993,50385.80660690142
2022-12-24,16847.755859374996,50316.52182662126
2022-12-25,16841.986328125,50392.9200604687
2022-12-26,16919.804687499996,51062.95099232226
2022-12-27,16717.173828124996,51778.82835463085
2022-12-28,16552.572265624993,50928.76345861704
2022-12-29,16642.341796874996,52272.7575170565
2022-12-30,16602.585937499996,51894.23185407221
2022-12-31,16547.496093749996,52557.71576689358
2023-01-01,16625.080078125,52807.34856704735
2023-01-02,16688.470703124996,52682.0873014148
2023-01-03,16679.857421875,54362.731506023534
2023-01-04,16863.238281249993,55105.49052506669
2023-01-05,16836.736328125,53772.35563879158
2023-01-06,16951.968749999996,55334.68301834606
2023-01-07,16955.078125,55606.219505290974
2023-01-08,17091.144531249996,54971.24153400104
2023-01-09,17196.5546875,54517.10445076793
2023-01-10,17446.292968749996,55574.825675796106
2023-01-11,17934.896484375,55779.678438765244
2023-01-12,18869.587890624996,54510.713351399405
2023-01-13,19909.574218749996,52738.927789478716
2023-01-14,20976.298828125,54077.84128573631
2023-01-15,20880.798828125,55582.06312519318
2023-01-16,21169.632812499996,57072.45193640911
2023-01-17,21161.51953125,55064.89839101365
2023-01-18,20688.781249999996,55117.33269033845
2023-01-19,21086.79296875,54677.09056516158
2023-01-20,22676.552734374996,53625.39030538219
2023-01-21,22777.625,52672.67386679408
2023-01-22,22720.416015624996,53522.80515940585
2023-01-23,22934.431640625,54550.16297585254
2023-01-24,22636.46875,54431.33796236146
2023-01-25,23117.859375,52765.33304614102
2023-01-26,23032.77734375,53945.973478978405
2023-01-27,23078.728515625,54207.1450660677
2023-01-28,23031.089843749996,54758.76099185505
2023-01-29,23774.56640625,57272.49856261883
2023-01-30,22840.138671875,53719.38713889259
2023-01-31,23139.283203124996,53427.862735624265
2023-02-01,23723.769531249996,53449.17487822644
2023-02-02,23471.87109375,53202.87775525514
2023-02-03,23449.322265625,53193.90753432267
2023-02-04,23331.84765625,52387.6143403821
2023-02-05,22955.666015624996,53727.11350687681
2023-02-06,22760.109375,54313.917034958824
2023-02-07,23264.291015624996,53371.09641867298
2023-02-08,22939.3984375,54888.153782702655
2023-02-09,21819.0390625,55668.642198201494
2023-02-10,21651.18359375,55407.550328172794
2023-02-11,21870.874999999996,54264.17009913994
2023-02-12,21788.203124999996,54148.577459120555
2023-02-13,21808.101562499996,54758.5124415616
2023-02-14,22220.8046875,55855.35796391825
2023-02-15,24307.841796875,55450.862881952686
2023-02-16,23623.474609375,55284.08485051374
2023-02-17,24565.6015625,56242.29238810959
2023-02-18,24641.277343749996,55474.5855840503
2023-02-19,24327.642578125,57820.40566585086
2023-02-20,24829.148437499996,57938.98122001823
2023-02-21,24436.353515624996,57791.37955630224
2023-02-22,24188.84375,57376.53185283306
2023-02-23,23947.4921875,54759.31818931575
2023-02-24,23198.126953125,54561.131110682705
2023-02-25,23175.375,53189.750628963506
2023-02-26,23561.212890625,51032.97390059321
2023-02-27,23522.87109375,51493.28174979554
2023-02-28,23147.353515625,50712.37453901748
2023-03-01,23646.550781249996,51490.51551474128
2023-03-02,23475.466796875,52302.14051683766
2023-03-03,22362.6796875,51228.73781630497
2023-03-04,22353.349609374996,53225.666354630215
2023-03-05,22435.513671875,53758.546209249835
2023-03-06,22429.757812499996,51352.14477766863
2023-03-07,22219.769531249996,50765.68437853973
2023-03-08,21718.080078124996,51559.863493957535
2023-03-09,20363.021484375,49260.953043234775
2023-03-10,20187.244140625,49403.91579856048
2023-03-11,20632.41015625,48031.89073666331
2023-03-12,22163.94921875,48254.292560639245
