Date,Y_test,Y_SARIMAX,Y_LR,Y_XGBR,Y_LSTM,Y_GRU
2022-12-07,16848.126953124996,6969.384763804762,52302.648882283785,54809.41,59123.88,51132.965
2022-12-08,17233.474609375,6864.31011605032,53785.02258726762,55275.63,59329.62,51192.914
2022-12-09,17133.15234375,6933.804152561704,53074.34524709038,55736.45,59475.504,51305.91
2022-12-10,17128.724609374996,5749.678008227071,52753.75260742767,54372.805,59467.273,51412.438
2022-12-11,17104.193359374996,7460.168850827079,53237.916136427724,53357.055,59435.203,51504.906
2022-12-12,17206.437499999993,7194.600536899576,52097.09265368765,53476.89,59343.832,51618.348
2022-12-13,17781.318359374996,7297.213472664876,52382.22062927822,53554.08,59308.266,51779.72
2022-12-14,17815.650390625,6905.443649579878,52972.9945672725,52631.42,59316.855,51983.12
2022-12-15,17364.865234374996,8147.5088170743475,52083.78631394594,51221.53,59197.14,52179.176
2022-12-16,16647.484375,7339.406622631734,51306.862358604434,51844.08,59021.008,52284.3
2022-12-17,16795.091796875,7338.483035438315,51173.76764040073,52165.434,58792.484,52253.83
2022-12-18,16757.976562499996,8308.17750912797,53234.5708221315,52470.75,58734.4,52269.266
2022-12-19,16439.679687499996,7584.046875363069,52120.955130685594,53771.176,58762.312,52296.973
2022-12-20,16906.304687499996,8186.233590452182,51753.830296974134,54753.82,58758.22,52330.82
2022-12-21,16817.53515625,8456.00287820211,50814.60173840775,55937.984,58563.438,52249.215
2022-12-22,16830.341796874996,7627.7520260759065,51469.27599276117,55668.64,58353.26,52164.344
2022-12-23,16796.953124999993,7081.162233546454,50385.80660690142,56292.65,58193.78,52035.535
2022-12-24,16847.755859374996,7876.116393193048,50316.52182662126,55679.848,58039.88,51833.64
2022-12-25,16841.986328125,7157.439816003618,50392.9200604687,56232.562,57749.367,51587.2
2022-12-26,16919.804687499996,7385.867193359311,51062.95099232226,55211.39,57664.04,51418.035
2022-12-27,16717.173828124996,7628.172637495288,51778.82835463085,56020.258,57707.227,51292.316
2022-12-28,16552.572265624993,7920.312180016868,50928.76345861704,56755.27,57651.367,51258.77
2022-12-29,16642.341796874996,8047.877757480257,52272.7575170565,56923.082,57770.73,51291.844
2022-12-30,16602.585937499996,7702.07588343528,51894.23185407221,58194.547,57893.39,51320.973
2022-12-31,16547.496093749996,8159.113804421677,52557.71576689358,58708.535,58026.508,51306.098
2023-01-01,16625.080078125,5727.117347764481,52807.34856704735,58095.734,58100.83,51205.46
2023-01-02,16688.470703124996,8066.848631902111,52682.0873014148,57994.168,58163.992,51120.465
2023-01-03,16679.857421875,7559.147510331969,54362.731506023534,56630.902,58301.69,51055.305
2023-01-04,16863.238281249993,7912.861747206623,55105.49052506669,55838.363,58440.19,51118.176
2023-01-05,16836.736328125,8066.217545334396,53772.35563879158,55602.684,58413.016,51231.4
2023-01-06,16951.968749999996,7621.076235451858,55334.68301834606,56845.66,58484.105,51470.754
2023-01-07,16955.078125,8779.518017466125,55606.219505290974,56977.84,58602.066,51791.195
2023-01-08,17091.144531249996,7605.262418495375,54971.24153400104,56530.008,58650.094,52046.01
2023-01-09,17196.5546875,10220.688103007016,54517.10445076793,55536.82,58657.84,52366.555
2023-01-10,17446.292968749996,9753.055681431853,55574.825675796106,55005.93,58679.605,52670.91
2023-01-11,17934.896484375,9654.914232132935,55779.678438765244,55968.555,58738.523,52988.04
2023-01-12,18869.587890624996,9521.727643640468,54510.713351399405,52279.887,58653.93,53316.473
2023-01-13,19909.574218749996,9647.995436124133,52738.927789478716,51974.812,58240.76,53452.156
2023-01-14,20976.298828125,9886.270269077188,54077.84128573631,52677.582,57764.88,53505.312
2023-01-15,20880.798828125,10317.661717945233,55582.06312519318,52881.477,57458.125,53493.39
2023-01-16,21169.632812499996,10240.490873585439,57072.45193640911,52993.77,57464.81,53483.43
2023-01-17,21161.51953125,10786.263611426608,55064.89839101365,54068.336,57549.793,53431.918
2023-01-18,20688.781249999996,10974.5039839749,55117.33269033845,56194.223,57613.438,53295.414
2023-01-19,21086.79296875,11221.626416699903,54677.09056516158,57115.883,57557.07,53085.36
2023-01-20,22676.552734374996,10830.960996922542,53625.39030538219,57358.473,57291.99,52756.703
2023-01-21,22777.625,10078.111748596732,52672.67386679408,58181.574,56837.074,52407.65
2023-01-22,22720.416015624996,9674.298615150821,53522.80515940585,57214.0,56454.54,51994.844
2023-01-23,22934.431640625,8709.983651924296,54550.16297585254,56736.824,56310.21,51641.055
2023-01-24,22636.46875,8632.37601261536,54431.33796236146,55689.285,56365.62,51337.664
2023-01-25,23117.859375,8949.065066793413,52765.33304614102,56598.938,56352.938,51155.934
2023-01-26,23032.77734375,9312.245143803255,53945.973478978405,57555.934,56386.727,51025.324
2023-01-27,23078.728515625,9408.803683657292,54207.1450660677,57640.93,56474.598,50985.953
2023-01-28,23031.089843749996,9846.55385626251,54758.76099185505,55719.492,56600.42,50904.37
2023-01-29,23774.56640625,10046.50668544296,57272.49856261883,54924.54,56939.9,50890.91
2023-01-30,22840.138671875,9396.896855797804,53719.38713889259,55778.688,57119.37,50808.38
2023-01-31,23139.283203124996,9952.69364275494,53427.862735624265,53953.953,57164.45,50781.65
2023-02-01,23723.769531249996,9101.167394829157,53449.17487822644,54184.293,57051.27,50769.824
2023-02-02,23471.87109375,9384.452700079924,53202.87775525514,53402.742,56970.254,50771.75
2023-02-03,23449.322265625,9254.73896037107,53193.90753432267,54838.125,56977.33,50852.406
2023-02-04,23331.84765625,9305.15234125342,52387.6143403821,53235.047,57138.957,50910.117
