Date,Y_test,Y_LSTM
2022-12-07,16848.126953124996,59123.88
2022-12-08,17233.474609375,59329.62
2022-12-09,17133.15234375,59475.504
2022-12-10,17128.724609374996,59467.273
2022-12-11,17104.193359374996,59435.203
2022-12-12,17206.437499999993,59343.832
2022-12-13,17781.318359374996,59308.266
2022-12-14,17815.650390625,59316.855
2022-12-15,17364.865234374996,59197.14
2022-12-16,16647.484375,59021.008
2022-12-17,16795.091796875,58792.484
2022-12-18,16757.976562499996,58734.4
2022-12-19,16439.679687499996,58762.312
2022-12-20,16906.304687499996,58758.22
2022-12-21,16817.53515625,58563.438
2022-12-22,16830.341796874996,58353.26
2022-12-23,16796.953124999993,58193.78
2022-12-24,16847.755859374996,58039.88
2022-12-25,16841.986328125,57749.367
2022-12-26,16919.804687499996,57664.04
2022-12-27,16717.173828124996,57707.227
2022-12-28,16552.572265624993,57651.367
2022-12-29,16642.341796874996,57770.73
2022-12-30,16602.585937499996,57893.39
2022-12-31,16547.496093749996,58026.508
2023-01-01,16625.080078125,58100.83
2023-01-02,16688.470703124996,58163.992
2023-01-03,16679.857421875,58301.69
2023-01-04,16863.238281249993,58440.19
2023-01-05,16836.736328125,58413.016
2023-01-06,16951.968749999996,58484.105
2023-01-07,16955.078125,58602.066
2023-01-08,17091.144531249996,58650.094
2023-01-09,17196.5546875,58657.84
2023-01-10,17446.292968749996,58679.605
2023-01-11,17934.896484375,58738.523
2023-01-12,18869.587890624996,58653.93
2023-01-13,19909.574218749996,58240.76
2023-01-14,20976.298828125,57764.88
2023-01-15,20880.798828125,57458.125
2023-01-16,21169.632812499996,57464.81
2023-01-17,21161.51953125,57549.793
2023-01-18,20688.781249999996,57613.438
2023-01-19,21086.79296875,57557.07
2023-01-20,22676.552734374996,57291.99
2023-01-21,22777.625,56837.074
2023-01-22,22720.416015624996,56454.54
2023-01-23,22934.431640625,56310.21
2023-01-24,22636.46875,56365.62
2023-01-25,23117.859375,56352.938
2023-01-26,23032.77734375,56386.727
2023-01-27,23078.728515625,56474.598
2023-01-28,23031.089843749996,56600.42
2023-01-29,23774.56640625,56939.9
2023-01-30,22840.138671875,57119.37
2023-01-31,23139.283203124996,57164.45
2023-02-01,23723.769531249996,57051.27
2023-02-02,23471.87109375,56970.254
2023-02-03,23449.322265625,56977.33
2023-02-04,23331.84765625,57138.957
2023-02-05,22955.666015624996,57487.27
2023-02-06,22760.109375,57979.367
2023-02-07,23264.291015624996,58355.35
2023-02-08,22939.3984375,58599.656
2023-02-09,21819.0390625,58802.332
2023-02-10,21651.18359375,59012.26
2023-02-11,21870.874999999996,59104.91
2023-02-12,21788.203124999996,59101.883
2023-02-13,21808.101562499996,59133.586
2023-02-14,22220.8046875,59283.598
2023-02-15,24307.841796875,59439.95
2023-02-16,23623.474609375,59598.58
2023-02-17,24565.6015625,59819.305
2023-02-18,24641.277343749996,59969.312
2023-02-19,24327.642578125,60194.76
2023-02-20,24829.148437499996,60443.234
2023-02-21,24436.353515624996,60631.8
2023-02-22,24188.84375,60745.46
2023-02-23,23947.4921875,60670.945
2023-02-24,23198.126953125,60581.414
2023-02-25,23175.375,60454.793
2023-02-26,23561.212890625,60301.05
2023-02-27,23522.87109375,60264.742
2023-02-28,23147.353515625,60167.58
2023-03-01,23646.550781249996,60067.805
2023-03-02,23475.466796875,60030.023
2023-03-03,22362.6796875,59927.406
2023-03-04,22353.349609374996,59852.047
2023-03-05,22435.513671875,59837.57
2023-03-06,22429.757812499996,59777.547
2023-03-07,22219.769531249996,59634.02
2023-03-08,21718.080078124996,59654.39
2023-03-09,20363.021484375,59662.445
2023-03-10,20187.244140625,59647.094
2023-03-11,20632.41015625,59448.24
2023-03-12,22163.94921875,59232.48
