Date,Y_test,Y_SARIMAX,Y_LR,Y_XGBR,Y_LSTM,Y_GRU
2022-12-07,17089.503906249993,7312.9253679456415,15405.763337547525,17835.693359375,15106.447265625,17727.533203125
2022-12-08,16848.126953124996,7294.8556392094215,15398.506253823718,16917.70703125,14959.384765625,17763.01953125
2022-12-09,17233.474609375,7294.8556392094215,13820.824820970454,17513.453125,14994.7314453125,17551.720703125
2022-12-10,17133.15234375,7294.8556392094215,11984.471195814229,17914.390625,15025.89453125,17244.630859375
2022-12-11,17128.724609374996,7294.8556392094215,12040.551552603545,17958.4765625,15098.8828125,17114.015625
2022-12-12,17104.193359374996,7294.8556392094215,12313.586653638571,17802.9140625,15212.171875,17079.3828125
2022-12-13,17206.437499999993,7294.8556392094215,12033.629910562802,17677.119140625,15313.0146484375,17042.46875
2022-12-14,17781.318359374996,7294.8556392094215,12082.665734629249,17561.80859375,15360.951171875,17046.72265625
2022-12-15,17815.650390625,7294.8556392094215,11810.981700170705,17678.359375,15420.517578125,17034.375
2022-12-16,17364.865234374996,7294.8556392094215,11804.692572407297,17844.0,15476.015625,17065.654296875
2022-12-17,16647.484375,7294.8556392094215,13212.075147344454,17648.75,15484.23046875,17210.421875
2022-12-18,16795.091796875,7294.8556392094215,13719.11745430133,17380.580078125,15537.923828125,17331.56640625
2022-12-19,16757.976562499996,7294.8556392094215,14500.744532206172,17120.04296875,15643.876953125,17357.640625
2022-12-20,16439.679687499996,7294.8556392094215,13014.34552179492,17287.078125,15710.619140625,17273.8125
2022-12-21,16906.304687499996,7294.8556392094215,13834.83779787764,17198.197265625,15728.71484375,17225.439453125
2022-12-22,16817.53515625,7294.8556392094215,14375.565592349867,17125.921875,15738.970703125,17246.57421875
2022-12-23,16830.341796874996,7294.8556392094215,14339.974179459074,17270.9453125,15677.388671875,17256.34765625
2022-12-24,16796.953124999993,7294.8556392094215,14109.621514279415,17021.271484375,15527.0556640625,17316.2734375
2022-12-25,16847.755859374996,7294.8556392094215,14944.854851529857,16627.134765625,15426.103515625,17445.66015625
2022-12-26,16841.986328125,7294.8556392094215,17764.716076618497,17694.63671875,15362.93359375,18527.556640625
2022-12-27,16919.804687499996,7294.8556392094215,18299.79460406869,17468.26171875,15315.6298828125,18928.2109375
2022-12-28,16717.173828124996,7294.8556392094215,17224.95195797593,16992.734375,15287.40234375,18139.91015625
2022-12-29,16552.572265624993,7294.8556392094215,18510.23212089762,17068.46484375,15213.9599609375,18056.12890625
2022-12-30,16642.341796874996,7294.8556392094215,16605.568736625894,17602.880859375,15096.5078125,17852.861328125
2022-12-31,16602.585937499996,7294.8556392094215,14562.429257670008,17356.4765625,14999.326171875,17572.8828125
2023-01-01,16547.496093749996,7294.8556392094215,14184.956436754179,17308.8203125,14948.041015625,17478.76953125
2023-01-02,16625.080078125,7294.8556392094215,13710.191383260226,17803.62109375,14930.4560546875,17376.978515625
2023-01-03,16688.470703124996,7294.8556392094215,13496.259878016313,17887.05859375,14912.15234375,17327.58984375
2023-01-04,16679.857421875,7294.8556392094215,13505.998928465717,17938.306640625,14924.384765625,17298.08984375
2023-01-05,16863.238281249993,7294.8556392094215,14323.207594020092,18166.2578125,14975.2001953125,17258.45703125
2023-01-06,16836.736328125,7294.8556392094215,14144.719875086439,18132.84375,15033.0244140625,17214.74609375
2023-01-07,16951.968749999996,7294.8556392094215,14242.451604879712,18157.6328125,15103.4140625,17145.802734375
2023-01-08,16955.078125,7294.8556392094215,12512.271757221795,18623.177734375,15189.52734375,16957.953125
2023-01-09,17091.144531249996,7294.8556392094215,11810.520505331584,18569.677734375,15349.080078125,16798.091796875
2023-01-10,17196.5546875,7294.8556392094215,11507.223246772463,18352.640625,15495.9501953125,16746.25390625
2023-01-11,17446.292968749996,7294.8556392094215,11561.349694792916,18442.1796875,15575.5439453125,16691.97265625
2023-01-12,17934.896484375,7294.8556392094215,10957.896575896411,18504.63671875,15719.0947265625,16610.96484375
2023-01-13,18869.587890624996,7294.8556392094215,11204.688442160637,18902.0625,15765.443359375,16605.09375
2023-01-14,19909.574218749996,7294.8556392094215,13036.242992535514,18490.88671875,15740.154296875,16716.63671875
2023-01-15,20976.298828125,7294.8556392094215,12970.475790209082,18783.26171875,15745.798828125,16790.1171875
2023-01-16,20880.798828125,7294.8556392094215,13553.078765551385,19696.767578125,15711.0390625,16849.7734375
2023-01-17,21169.632812499996,7294.8556392094215,13215.318653419305,19891.861328125,15715.642578125,16922.47265625
