algo,mse,mae,rmse,r2,deviation
SARIMAX,128342176.60958977,11011.390721605998,11328.820618651784,-14.027403381449632,0.5303250421092592
Linear Regression,12991245.139701843,3186.734522675295,3604.3369903079047,-0.5211264628576457,0.15480192148586047
XGBoost Regression,11635340.398891315,2815.348846435547,3411.061476856041,-0.3623655003646875,0.12781920221592824
Long Short Term Memory,50442488.406252764,6624.972025553383,7102.287547421096,-4.906239405232411,0.31849175561353626
Gate Recurrent Unit,25090136.580465138,4684.005228678387,5009.005548056934,-1.9377684970798787,0.24378870831220853
