algo,mse,mae,rmse,r2,deviation
SARIMAX,157869365.32293123,12193.955504872012,12564.607646995239,-16.82061280375966,0.589760923951152
Linear Regression,31767501.49479879,5220.475647297176,5636.266627369468,-2.6180196191424137,0.2591409587379597
XGBoost Regression,10308445.729701119,2627.297758556548,3210.6768335821525,-0.16082406668478597,0.12228773597302314
Long Short Term Memory,193370593.16827893,13665.697402227494,13905.775532787768,-20.832138995736475,0.7051544610452295
Gate Recurrent Unit,20622220.714548964,3635.185427711124,4541.169531579829,-1.334305395292862,0.202056100282281
