algo,mse,mae,rmse,r2,deviation
SARIMAX,141475982.175084,11641.440741041448,11894.367666046144,-15.56522204231425,0.5637964512860698
Linear Regression,1827727.634074928,1043.912021641959,1351.9347743419162,0.7859939643051508,0.05183616262873266
XGBoost Regression,3208274.2714973837,1497.1486918131523,1791.1656181094431,0.624347717097115,0.07588675993286208
Long Short Term Memory,91110337.08771785,9413.025207519531,9545.173496994063,-9.667980112273424,0.4729751322152628
Gate Recurrent Unit,10824725.176112939,3034.7003580729156,3290.095010195441,-0.2674517139413075,0.14753569059644892
