algo,mse,mae,rmse,r2,deviation
SARIMAX,141821863.20983934,11738.46519354222,11908.898488518547,-15.605720761975778,0.5712265960943917
Linear Regression,15462244.599749908,3481.0540553241085,3932.20607289978,-0.8104522840523591,0.1685944026592681
XGBoost Regression,4660044.313764888,1773.3774820963542,2158.7135784454795,0.45436202245970747,0.08354674086421315
Long Short Term Memory,209468207.10285196,14331.466451009115,14473.016517051721,-23.52633519921453,0.7284908793504595
Gate Recurrent Unit,12002871.4749522,3031.6064351399727,3464.5160520557847,-0.40539919264798074,0.1401712558330318
