algo,mse,mae,rmse,r2,deviation
SARIMAX,182146481.71127468,13174.195793082243,13496.165444720758,-20.21791670532286,0.6358805595256387
Linear Regression,21465172.170974612,4221.931552737304,4633.052144210619,-1.501509548208401,0.205596887213001
XGBoost Regression,2970576.447631517,1413.4228515625005,1723.5360302678669,0.6537393407329055,0.06629483148613702
Long Short Term Memory,22810514.073694818,4228.72252400716,4776.03539284361,-1.6579142434064835,0.1950947110477611
Gate Recurrent Unit,11805345.69190953,2836.369740804037,3435.8908148993223,-0.37506106183386634,0.12810489651564608
